#separator:tab
#html:true
"What was Britain's share of world trade
<br><br>
"	"1880:23%, 1910:17%
<br><br>

<br><br>
"
"Share of global industrial capacity in 1910
<br><br>
"	"Britain: 15% Germany: 16% USA: 35%
<br><br>

<br><br>
"
"What is Britain in economic decline
<br><br>
"	"No but they were in relative decline they're not increasing as fast as others
<br><br>

<br><br>
"
"How much of Britain's exports did India take
<br><br>
"	"20%, hundred and £50 million by 1914
<br><br>

<br><br>
"
"What suggested the empire was becoming irrelevant
<br><br>
"	"Imperial Federation league that promoted closer clinical ties was disbanded in 1893 after being established in 1884. Demonstrated a threat to the empire in the form of it not being useful
<br><br>

<br><br>
"
"How was Britains trade looking
<br><br>
"	"Traders growing with non-Imperial world and in the 1890s they did more trade with built in all of Africa. Empires total trade in 1896 worth £745 million, but trade between countries empire only £183 million. Whole region of Africa took 12% of trade
<br><br>

<br><br>
"
"What did anti-imperialists argue about the cost of empire
<br><br>
"	"Costs more than it benefited middle-class people
<br><br>

<br><br>
"
"In what area did Britain Lag behind Compared to other economies such as Germany
<br><br>
"	"Chemical an electrical engineering as a result of poor investment
<br><br>

<br><br>
"
"When was the Great depression and what did it lead to
<br><br>
"	"1873 to 1896 and it led to protectionism from some powers such as Germany
<br><br>

<br><br>
"
"What made Britain rely increasingly on its colonial posessions
<br><br>
"	"As its influence in its informal empire lessened
<br><br>

<br><br>
"
"In what sector did Britain remain the pre-eminent power
<br><br>
"	"Financial services and capital investment
<br><br>

<br><br>
"
"What did Cain and Hopkins argue about London
<br><br>
"	"It remained the worlds financial capital
<br><br>

<br><br>
"
"What happened to British overseas investment
<br><br>
"	"Doubled between 1900 - 1913 from £2billion to £4bn
<br><br>

<br><br>
"
"When was the education act
<br><br>
"	"1902
<br><br>

<br><br>
"
"When was Imperial College London founded
<br><br>
"	"1907
<br><br>

<br><br>
"
"What happened to the Royal Navy
<br><br>
"	"Modernised - HMS dreadnought 1906
<br><br>

<br><br>
"
"When did the Boy Scout movement start
<br><br>
"	"1908 by Robert Baden Powell who was a war hero
<br><br>

<br><br>
"
"What percentage of the population were deemed unfit for military service
<br><br>
"	"40%
<br><br>

<br><br>
"
"What did the boer war expose
<br><br>
"	"Poor diet health and living conditions
<br><br>

<br><br>
"
"What did national efficiency suggest
<br><br>
"	"We need to revamp England demonstrated it was actually at risk. However it's arguable that they were preparing for supposed Significant threats rather than actually facing them
<br><br>

<br><br>
"
"When was there an increase in public hostility
<br><br>
"	"Post boer war But was never more than a minority view
<br><br>

<br><br>
"
"Who is Emily Hobhouse
<br><br>
"	"Welfare campaigner who revealed the atrocities of boer war through Media
<br><br>

<br><br>
"
"When did Hobson write imperialism
<br><br>
"	"1902 - this was the first academic critique of imperialism
<br><br>

<br><br>
"
"What political ideology was on the rise
<br><br>
"	"Radical left this was the beginnings of the Labour Party
<br><br>

<br><br>
"
"what was the outcome of the 1906 election
<br><br>
"	"Liberal landslide - reaction against Imperialist tories perhaps
<br><br>

<br><br>
"
"Give two examples of the British fantasising about being under threat
<br><br>
"	"Rudyard Kipling's ""recessional"" 1897 - poem about empire ending.<br><br>Battle of dorking - Sir George Chesney, 1871
<br><br>

<br><br>
"
"What did the growth of this threat literature suggest
<br><br>
"	"But there was a growing anxiety within Britain but also that they liked painting themselves as a victim
<br><br>

<br><br>
"
"What problem did they have with the plans for the Navy
<br><br>
"	"They could no longer keep up with having an even bigger than the next to put together. Germany catching up quickly
<br><br>

<br><br>
"
"What suggested they were still very strong military power
<br><br>
"	"Still have the largest navy, massive naval base at scapa flow. In 1912 there was a mass movement of navy from Mediterranean to Scapa flow
<br><br>

<br><br>
"
"Which country were they having the largest rise in tensions with
<br><br>
"	"Germany
<br><br>

<br><br>
"
"What were some of the causes of the rising tensions with Germany
<br><br>
"	"German involvement in the war, ambitions of kaiser Wilhelm II - 'weltpolitik', arms race with Germany
<br><br>

<br><br>
"
"In terms of strategic threats, what did the turn of the 20th century see an end to
<br><br>
"	"Splendid isolation
<br><br>

<br><br>
"
"When was the alliance with Japan formed and why was this important
<br><br>
"	"1902. Japanese defeat of Russians in 1906 demonstrated they were an important ally
<br><br>

<br><br>
"
"When was the entente cordiale formed with France
<br><br>
"	"1904
<br><br>

<br><br>
"
"When was the triple entente formed with Russia
<br><br>
"	"1907
<br><br>

<br><br>
"
"Over what did Britain seek agreements with Russia
<br><br>
"	"Central Asia this lessened any tensions between them and strengthened their alliance
<br><br>

<br><br>
"
"What nation did Britain become friendly with
<br><br>
"	"USA
<br><br>

<br><br>
"
"Was Britain facing significant threats
<br><br>
"	"There was more that there was potential for significant threats and they were preparing themselves for that. Germany posed the biggest threat.
<br><br>

<br><br>
"
"What areas were britain facing significant threats
<br><br>
"	"Economically they were not facing major threats but rather the image as the dominant world power was. Strategically and militarily there is more of a threat because of Germany.
<br><br>

<br><br>
"
"Why did nationalism not pose a significant threat before World War I
<br><br>
"	"It grew rapidly after World War I but before it was limited across the periphery
<br><br>

<br><br>
"
"Which countries were the major ones with nationalist problems
<br><br>
"	"Ireland, Egypt, India
<br><br>

<br><br>
"
"What was one way with dealing with nationalism that did not pose a threat to British empire
<br><br>
"	"Offering cosmetic concessions that would quench nationalism but not remove any British power
<br><br>

<br><br>
"
"What was one of the major threats of nationalism
<br><br>
"	"It would give others ideas
<br><br>

<br><br>
"
"Which historian believes that the public Apathy was widespread
<br><br>
"	"Bernard Porter
<br><br>

<br><br>
"
