#separator:tab
#html:true
"Whose idea was it to create the Suez Canal?
<br><br>
"	"Ishmael Pasha, as he was keen on creating a modern Egypt
<br><br>

<br><br>
"
"What percentage of the stocks does Ishmael Pasha keep?
<br><br>
"	"45%
<br><br>

<br><br>
"
"What does Ishmael Pasha do with his share of the stocks in the sewers Canal when he needed to pay back loans
<br><br>
"	"1875. He sells it to the British for £4 million.
<br><br>

<br><br>
"
"When was the Suez Canal constructed?
<br><br>
"	"1859-69, has French oversight and management, but Egyptian labour
<br><br>

<br><br>
"
"What does the foreign debt of Egypt increase by under Ishmael Pasha?
<br><br>
"	"From £3 million-£100 million because of irrigation canals and 1000 miles railway, but the economy was sound and the modernisation was necessary
<br><br>

<br><br>
"
"What led to the sale of shares of the canal?
<br><br>
"	"EgypTs heavy borrowing at high interest rates from European investors
<br><br>

<br><br>
"
"Who was sent to advise on finances in 1876 to Egypt
<br><br>
"	"British minister, Stephen Cave and a French minister
<br><br>

<br><br>
"
"What was set up in 1876 to support egypt
<br><br>
"	"Commission of the public debt (controlled by one Frenchman, and one English, who was sir Evelyn Baring) - essentially dual Anglo-French control of state finances until 1882
<br><br>

<br><br>
"
"What did Egyptians think of the dual anglo French control?
<br><br>
"	"They resented it
<br><br>

<br><br>
"
"What were the reasons for Britain holding influence in Egypt?
<br><br>
"	"Partially to secure the canal, partially to keep an eye on the French, and partially to secure investments
<br><br>

<br><br>
"
"What happened in 1876 to 77?
<br><br>
"	"Poor harvests and famine
<br><br>

<br><br>
"
"What causes the deposition of Ishmael Pasha?
<br><br>
"	"The poor harvests and famine of 1876-7 and pay in arrears in the army
<br><br>

<br><br>
"
"When was Ishmael pasha deposed?
<br><br>
"	"1879
<br><br>

<br><br>
"
"Who replaced Ishmael Pasha
<br><br>
"	"Tewfiq his son, who was believed to be more amenable to European powers than his father
<br><br>

<br><br>
"
"When was the Arabi pasha revolt
<br><br>
"	"1882
<br><br>

<br><br>
"
"What are the key features of the arabi Pasha revolt?
<br><br>
"	"hostile to European demands and growing Egyptian community who were exempt from taxation
<br><br>

<br><br>
"
"What did the British and French do on the 8th of January 1882
<br><br>
"	"They sent a joint note to the Egyptian government which expressed support for the khedive and opposed growing army influence. In particular, there was French concern about the interests of bondholders. the army feared this note was a prelude to an invasion.
<br><br>

<br><br>
"
"What happened on the 11th of June 1882
<br><br>
"	"Riot in Alexandria against Europeans, in which 50 people were killed
<br><br>

<br><br>
"
"What happened on the 11th of July 1882
<br><br>
"	"British fleet bombarded Alexandria
<br><br>

<br><br>
"
"What did the revolt do in July 1882
<br><br>
"	"There was a full-scale revolt from the army, which laid siege to Alexandria, and threatened the canal
<br><br>

<br><br>
"
"What did Gladstone want during the revolt in Egypt?
<br><br>
"	"He wanted joint Anglo-French involvement, but the French assembly would not grant for money
<br><br>

<br><br>
"
"What did Britain do in August 1882
<br><br>
"	"British forces led by sir garnet wolsey suppressed arabi pashas rebellion, and began British occupation of Egypt
<br><br>

<br><br>
"
"What was hypocritical about the British occupation of Egypt?
<br><br>
"	"Was meant to be temporary but remained for 70 years; Gladstone was meant to be a reluctant imperialist, but the occupation contradicted his attitudes in the anti-imperial Midlothian campaign in the 1880 election
<br><br>

<br><br>
"
"What was established in Egypt?
<br><br>
"	"A veiled protectorate. Legally Egypt still independent and technically the ottoman sultan remained the khedives overlord
<br><br>

<br><br>
"
"Who was the consul general of Egypt?
<br><br>
"	"Sir evelyn baring
<br><br>

<br><br>
"
