#separator:tab
#html:true
"How long had Britain held Cape?
<br><br>
"	"Since 1795 and it's been a colony since 1815
<br><br>

<br><br>
"
"What did the Boers do because of British rule in 1835
<br><br>
"	"Migrated north to the transvaal and Orange Free State
<br><br>

<br><br>
"
"Who are the Bantu people?
<br><br>
"	"The 300 to 600 different linguistic groups that inhabited the region from the African Great Lakes, down to the Cape
<br><br>

<br><br>
"
"When with diamonds discovered
<br><br>
"	"1867 in Kimberley
<br><br>

<br><br>
"
"Which place is annexed due to the discovery of diamonds?
<br><br>
"	"Basutoland, in 1868, west Griqualand in 1871, East Griqualand in 1873
<br><br>

<br><br>
"
"What did Lord Canarvan want in South Africa?
<br><br>
"	"He was the colonial secretary, and he wanted To establish a state for Boers and Africans, like Québec for the French
<br><br>

<br><br>
"
"What is it sir bartle frere's job to do?
<br><br>
"	"As High Commissioner it is his job to establish the state that Lord Canarvan wants
<br><br>

<br><br>
"
"When is the ninth Xhosa war and what is the outcome?
<br><br>
"	"1877-78 and the Xhosas lose, and it becomes part of the British empire
<br><br>

<br><br>
"
"How did the British provoke war with the Zulus ?
<br><br>
"	"British send an ultimatum saying disarm yourselves, and allow a British person to oversee the country - basically asking to make it a protectorate. Zulus obviously say no, and they go to war.
<br><br>

<br><br>
"
"What are the characteristics of the Zulus?
<br><br>
"	"Most militarised and the strongest tribe in South Africa
<br><br>

<br><br>
"
"What happens at Isanslwana?
<br><br>
"	"January 1879- 1300 British deaths. Less than 1500 men versus 20,000 Zulu Warriors.
<br><br>

<br><br>
"
"What happens at rorke's drift?
<br><br>
"	"155 English versus 4000 Zulu, Warriors for 11 1/2 hours, becomes a national success back home. They do not talk about it Isandlwana.
<br><br>

<br><br>
"
"What happened at the battle of Ulundi?
<br><br>
"	"4th July 1879, the Zulus have lost their greatest warriors and the British army led by sir garent wolsey, (most efficient/reliable war general), and the Zulus lose quickly.
<br><br>

<br><br>
"
"What happens to Zulu land after the battle of ulundi?
<br><br>
"	"They become a part of British Natal, and remain an important part of South Africa politics and culture
<br><br>

<br><br>
"
"When do they fight the Pedis?
<br><br>
"	"1879 in a very efficient war again led by sir garnet wolsey
<br><br>

<br><br>
"
"By when had the native tribes in South Africa been subdued
<br><br>
"	"End of 1879
<br><br>

<br><br>
"
"What happened as a result back in England from the expansion in southern Africa
<br><br>
"	"Disraeli was attacked by liberals for aggressive imperialism, and BeaconsFieldism, and Gladstone wins the 1880 election
<br><br>

<br><br>
"
"Why did they initially annex the transvaal?
<br><br>
"	"To protect them from the pedi, who were now no longer a threat
<br><br>

<br><br>
"
"What does boers do in 1880?
<br><br>
"	"They don't want to be a part of the confederation, and so they declare independence
<br><br>

<br><br>
"
"What happens as a result of the Boers, declaring independence?
<br><br>
"	"The British fight a short war with one battle at Majuba Hill in February 1881, where they are defeated
<br><br>

<br><br>
"
"What is Gladstone's response to boer independence?
<br><br>
"	"He wants to make peace and recognise it, so he signed a piece saying Federation of South Africa is off the table
<br><br>

<br><br>
"
