#separator:tab
#html:true
"when was giqua land west annexed?
<br><br>
"	"1871
<br><br>

<br><br>
"
"When were diamonds discovered in South Africa?
<br><br>
"	"1867
<br><br>

<br><br>
"
"when was gold discovered in the transvaal?
<br><br>
"	"1886
<br><br>

<br><br>
"
"When was the Boer War?
<br><br>
"	"1899-1902
<br><br>

<br><br>
"
"how much was the nigerian gin trade worth? when?
<br><br>
"	"£1.2 million, 1908
<br><br>

<br><br>
"
"who was deposed in egypt, and who replaced them? when?
<br><br>
"	"ismail pasha by the military, replaced by arabi pasha in 1879 who was hostile towards european demands
<br><br>

<br><br>
"
"when did the british begin occupying egypt?
<br><br>
"	"aug 1882
<br><br>

<br><br>
"
"quote for hobson, economic
<br><br>
"	"to safeguard and improve their existing investments
<br><br>

<br><br>
"
"quote for lenin, economic
<br><br>
"	"imperialism... we must define it as capitalism in transition
<br><br>

<br><br>
"
"quote for hobsbawm
<br><br>
"	"the attempts to devise a purely non-economic explanation of the 'new imperialism' is unrealistic
<br><br>

<br><br>
"
"what was british somaliland known as, and when did it become a protectorate?
<br><br>
"	"Aden's butcher, 1888
<br><br>

<br><br>
"
"When did Uganda become a protectorate?
<br><br>
"	"1894
<br><br>

<br><br>
"
"when did sudan become an anglo-egyptian condiminium?
<br><br>
"	"1899
<br><br>

<br><br>
"
"when did kenya become a protectorate?
<br><br>
"	"1895
<br><br>

<br><br>
"
"when was the ugandan railway built?
<br><br>
"	"1903
<br><br>

<br><br>
"
"When was Bechuanaland annexed and why?
<br><br>
"	"1885, because it separated the transvaal and german south west africa because the british were worried about a germanic-boer alliance
<br><br>

<br><br>
"
"quote for gallagher and robinson, anti-economic
<br><br>
"	"late victorians seemed to be concentrating their imperial effort in the continent of least importance to their prosperity
<br><br>

<br><br>
"
"quote for gallagher and robinson, strategic
<br><br>
"	"because its aims were essentially defensive and strategic
<br><br>

<br><br>
"
"when did zanzibar become a protectorate
<br><br>
"	"1890
<br><br>

<br><br>
"
"when was giqua land west annexed?
<br><br>
"	"1871
<br><br>

<br><br>
"
"When were diamonds discovered in South Africa?
<br><br>
"	"1867
<br><br>

<br><br>
"
"when was gold discovered in the transvaal?
<br><br>
"	"1886
<br><br>

<br><br>
"
"When was the Boer War?
<br><br>
"	"1899-1902
<br><br>

<br><br>
"
"how much was the nigerian gin trade worth? when?
<br><br>
"	"£1.2 million, 1908
<br><br>

<br><br>
"
"who was deposed in egypt, and who replaced them? when?
<br><br>
"	"ismail pasha by the military, replaced by arabi pasha in 1879 who was hostile towards european demands
<br><br>

<br><br>
"
"when did the british begin occupying egypt?
<br><br>
"	"aug 1882
<br><br>

<br><br>
"
