#separator:tab
#html:true
"how did Britain feel about its position pre World War One
<br><br>
"	"That, to an extent, the empire was in decline in its hegemony
<br><br>

<br><br>
"
"What was britain's share of World Trade
<br><br>
"	"1880: 23%, 1910: 17%
<br><br>

<br><br>
"
"What was the share of global industrial capacity
<br><br>
"	"Britain: 15%, Germany: 16%, USA: 35%
<br><br>

<br><br>
"
"What about the idea of Britain being in economic decline was actually true
<br><br>
"	"It was in relative decline to other growing powers such as the USA and Germany but it was not in actual decline - relative decline in global industrial capacity and global manufacturing production
<br><br>

<br><br>
"
"What advantage did the French, Russians and the Germans have through scientific developments that Britain lacked
<br><br>
"	"They had begun synthetic rubber production whereas the UK still relied on imports
<br><br>

<br><br>
"
"When was the pre World War One Great Depression
<br><br>
"	"1873 to 1896
<br><br>

<br><br>
"
"What impact did the Great Depression have
<br><br>
"	"Led to protectionism from some rival powers which challenged britain's advocacy of free trade
<br><br>

<br><br>
"
"Did london's position as the world's financial capital change
<br><br>
"	"No
<br><br>

<br><br>
"
"What did the gold standard do
<br><br>
"	"Fixed other currencies to the pound and became a symbol of britain's economic strength
<br><br>

<br><br>
"
"How did Britain's imperial and colonial attitude develop
<br><br>
"	"Their influence as an informal empire lessened and it relied increasingly on its colonial possessions post-scramble-for-Africa, however the empire was seemingly less important at this point
<br><br>

<br><br>
"
"What happened to the costs of the empire as the international situation altered
<br><br>
"	"It weighed on Britain, as maintenance of the British fleet was increasingly expensive and many colonies did not cover their own costs
<br><br>

<br><br>
"
"What did overseas investments increase by
<br><br>
"	"They doubled between 1900 and 1913 from £2 billion to £4 billion
<br><br>

<br><br>
"
"What do discussions of whether the empire is worth it or not in economic terms lead to
<br><br>
"	"Joseph Chamberlain's imperial preference, which was unsuccessful pre World War One
<br><br>

<br><br>
"
"Which event helped fuel the British panic that its military was becoming weaker
<br><br>
"	"The Boer war from 1899 to 1902
<br><br>

<br><br>
"
"What aim with the Navy could no longer be sustained
<br><br>
"	"There was an aim to have a Navy twice the size of the next one and this could no longer be sustained because of the Germans, but they still had by far the largest Navy
<br><br>

<br><br>
"
"When was the mass movement of naval base to scapa flow and what did this suggest
<br><br>
"	"1912 and it was positioned against Germany which suggested that the primary threat that Britain was concerned about was Germany
<br><br>

<br><br>
"
"What proportion of men were deemed unfit for military service
<br><br>
"	"40%
<br><br>

<br><br>
"
"How many men wered turn down in Manchester to fight in the boer war due to health reasons
<br><br>
"	"8000 out of 11,000
<br><br>

<br><br>
"
"Which scheme was employed in order to improve the British situation in the face of strategic threats
<br><br>
"	"National efficiency
<br><br>

<br><br>
"
"What did the 1902 Education Act do
<br><br>
"	"Established many secondary schools, changing curriculum from an emphasis on classics towards stem subjects and modern history and geography
<br><br>

<br><br>
"
"When was Imperial College London founded
<br><br>
"	"1907 and it was a purely science and technology university
<br><br>

<br><br>
"
"What was a key feature in modernising the Royal Navy
<br><br>
"	"the development of HMS dreadnought
<br><br>

<br><br>
"
"What did the modernization of the Royal Navy help lead to
<br><br>
"	"An arms race with Germany
<br><br>

<br><br>
"
"What other examples of liberal reforms after 1906 were there
<br><br>
"	"Free school meals, old age pensions, sickness and unemployment insurance. They aimed to support people and improve health and welfare of Britain
<br><br>

<br><br>
"
"In terms of britain's weakness to what extent were they actually facing significant threats
<br><br>
"	"In reality they were actually alright but through the schemes such as national efficiency they put themselves in a much stronger position anyway
<br><br>

<br><br>
"
"What four things caused rising tensions with Germany
<br><br>
"	"- involvement in boer war and the Kruger telegram<br>- military arrangements with the ottomans in 1898<br>- the ambitions of Kaiser Wilhelm and weltpolitik which were aims to transform Germany into a global power<br>- arms race
<br><br>

<br><br>
"
"In terms of international relations what did the period see an end to
<br><br>
"	"Splendid isolation, a policy which Britain had previously pursued by the belief that the empire was self-sustaining
<br><br>

<br><br>
"
"When was the committee of imperial defence created and what did it focus on
<br><br>
"	"1902 and was firmly focused on the military situation in Europe
<br><br>

<br><br>
"
"When was the imperial conference on defence
<br><br>
"	"1911 and it symbolised the strengthening relations with the dominions who became a source of power for Britain
<br><br>

<br><br>
"
"When was the alliance with Japan and how did this prove useful
<br><br>
"	"1902 and in 1905 they defeated Russia which showed them to be powerful
<br><br>

<br><br>
"
"When was the entente cordiale with France
<br><br>
"	"1904
<br><br>

<br><br>
"
"When was the triple entente with Russia and france formed
<br><br>
"	"1907
<br><br>

<br><br>
"
"what Agreements were made with Russia
<br><br>
"	"Agreements over Central Asia with Russia and the end of the great game
<br><br>

<br><br>
"
"What were relations like with the USA
<br><br>
"	"Friendly
<br><br>

<br><br>
"
