#separator:tab
#html:true
"what happened to suspected pro boers
<br><br>
"	"attacked
<br><br>

<br><br>
"
"what suggested there were few anti-imperilaists in the population?
<br><br>
"	"parliament supposed to represent population and there were very few anti-imperialists in parliament
<br><br>

<br><br>
"
"why were politicians worried
<br><br>
"	"resentment of the empire meant people may turn to the far left
<br><br>

<br><br>
"
"why was propaganda mass introduced
<br><br>
"	"encouraging support for the empire linked to national efficiency and creating a strong unified empire
<br><br>

<br><br>
"
"what was success of imperialists in office often linked with
<br><br>
"	"coincided with current domestic events
<br><br>

<br><br>
"
"why did conservatives lose the 1906 election
<br><br>
"	"boer war, milner's 'chinese slavery' scandal, chamberlain's imperial preference could threaten food prices - demonstrated how domestic issues came first
<br><br>

<br><br>
"
"what did supporters of the PM lord salisbury do between 1890-1905
<br><br>
"	"embraced imperial cause
<br><br>

<br><br>
"
"how did curzon describe the empire
<br><br>
"	"'so great an instrument for the good of humanity'
<br><br>

<br><br>
"
"what groups were formed to encourage support for the empire?
<br><br>
"	"victoria league 1901 (women), round table movement 1909
<br><br>

<br><br>
"
"what was empire day
<br><br>
"	"first celebrated in 1902 and recognised by parliament in 1916. intended to enforce imperial unity - however many may have just used it as an excuse to celebrate
<br><br>

<br><br>
"
"what was written in 1902
<br><br>
"	"Imperialism, by Hobson. it was first academic critique of empire and it was marxist
<br><br>

<br><br>
"
"who was emily hobhouse
<br><br>
"	"welfare campaigner whose reports of the status in the concentration camps fedback to britain and caused a spike in anti-imperialism/tarnished the idea that it was a force for good, 1901
<br><br>

<br><br>
"
"who was herbert spencer
<br><br>
"	"influential philosopher who critiqued victorian enthusiasm for colonial acquisitions
<br><br>

<br><br>
"
"who was frederic harrison
<br><br>
"	"radical left wing lawyer and historian who believed imperialism to be unethical
<br><br>

<br><br>
"
"who was walter crane
<br><br>
"	"used design skills to produce illustrtions to encourage the embrace of anti imperialism
<br><br>

<br><br>
"
"what was a common theme among anti-imperilists
<br><br>
"	"educated/middle class. lower class more apathetic than anti imperialist
<br><br>

<br><br>
"
"what number of men were turned away in manchester for boer war efforts
<br><br>
"	"8,000 out of 11,000
<br><br>

<br><br>
"
"when was imperial college founded
<br><br>
"	"1907 - technical college encouraging science and maths
<br><br>

<br><br>
"
"other examples of national efficiency
<br><br>
"	"revamping of royal navy, liberal social reforms
<br><br>

<br><br>
"
"what year were free school meals introduced
<br><br>
"	"1906
<br><br>

<br><br>
"
"when was health insureance founded
<br><br>
"	"1911
<br><br>

<br><br>
"
"what allowed newspapers to flourish and access new audiences
<br><br>
"	"technical advances in printing and illiteracy was eradicated by education act of 1870
<br><br>

<br><br>
"
"when was the daily mail founded
<br><br>
"	"1896, 'everyone loves a good hero and everyone loves a good hate', deliberately aimed at lower-middle class market and sold at low retail price, exploited popular support
<br><br>

<br><br>
"
"how many copies did the daily mail sell?
<br><br>
"	"during boer war, over a million copies per day
<br><br>

<br><br>
"
"example of key author who used imperial themes
<br><br>
"	"Rudyard Kipling - held almost religious views of the empire, and often discussed themes of a white man's duty/social darwinism
<br><br>

<br><br>
"
"what proved kipling was popular?
<br><br>
"	"he won the 1907 nobel prize for literature
<br><br>

<br><br>
"
"imperial children's novelist
<br><br>
"	"GA henty
<br><br>

<br><br>
"
"other methods in literature
<br><br>
"	"imperialist themes cropping up in romantic fiction for women
<br><br>

<br><br>
"
"imperialist composer
<br><br>
"	"edward elgar - aimed to capture 'nobility of empire'
<br><br>

<br><br>
"
"how was education infiltrated
<br><br>
"	"with propaganda - edits to textbooks, maps coloured in red introduced to classrooms, shift from classical history to modern history in public schools and introduction of history and geography to state schools
<br><br>

<br><br>
"
"who produced boys' own papers and girls' own papers
<br><br>
"	"religious tract society
<br><br>

<br><br>
"
"how many readers did the boys/girls own papers have
<br><br>
"	"between 1/4-1/2 million in 1890-1914
<br><br>

<br><br>
"
"example of imperalist themes in literature
<br><br>
"	"Mary Frances Ames' ABC for baby patriots
<br><br>

<br><br>
"
"who was robert baden powell
<br><br>
"	"boer war hero and founder of boy scouts 1908 and girl guides in 1912
<br><br>

<br><br>
"
"example of imeprial advertising
<br><br>
"	"bovril
<br><br>

<br><br>
"
"imperial architect
<br><br>
"	"Lutyens- invited to design new delhi, new capital of india
<br><br>

<br><br>
"
"who had their coronation celebrated with a festival of empire
<br><br>
"	"george V - 1911
<br><br>

<br><br>
"
"link between patriotism and imperialism
<br><br>
"	"pride in being british could be confused as pride in the empire - many people weren't thinking about the empire and would not have it closely connected in their minds. amalgamated to become jingoism
<br><br>

<br><br>
"
"quote from porter
<br><br>
"	"'most appear to have been apathetic to it or too busy with their lives to care much about it'
<br><br>

<br><br>
"
"social quote from hobson
<br><br>
"	"'[imperialism diverts] public attention away from domestic agitation'
<br><br>

<br><br>
"
"economic quote from hobson
<br><br>
"	"'imperialism of the last six decades is clearly condemned as a bad business policy'
<br><br>

<br><br>
"
"quote from mckenzie
<br><br>
"	"'sporadic excitement about imperialist affairs'
<br><br>

<br><br>
"
"what was the khaki election
<br><br>
"	"1900, conservatives exploited nationwide joy over relief of mafeking
<br><br>

<br><br>
"
"what was mafeking night
<br><br>
"	"massive celebration after relief of mafeking, when fighting the boers in 1900
<br><br>

<br><br>
"
"what was typical consensus of literature and arts
<br><br>
"	"majority of it was void of imperial mentions
<br><br>

<br><br>
"
"why were working class generally apathetic about empire
<br><br>
"	"lives absorbed by class system and their place in it
<br><br>

<br><br>
"
