#separator:tab
#html:true
"Which event had a major impact on politics
<br><br>
"	"The Suez crisis which led to a review of imperial policy
<br><br>

<br><br>
"
"Which speech by Harold Macmillan showed the conservative party acknowledging the need to pursue decolonisation
<br><br>
"	"The winds of change speech when talking about nationalism spreading across Africa and withdrawing before it became violent
<br><br>

<br><br>
"
"What gained an international political priority over the empire
<br><br>
"	"International relations and maintaining the special relationship with the United states, pursuing economic ties with Europe and Cold War context
<br><br>

<br><br>
"
"What gained domestic priority over the empire
<br><br>
"	"the labour government of 1945 increased the priority of the welfare state
<br><br>

<br><br>
"
"What was happening to Britain's economy compared to others
<br><br>
"	"Relative economic decline, and had a smaller economy than the USA but it was still growing strongly. However it was heavily dependent on US loans from the 1940s
<br><br>

<br><br>
"
"What effect did the Nazi regime have on the empire
<br><br>
"	"The racial superiority that underpinned imperialism became deeply unfashionable
<br><br>

<br><br>
"
"Which example were they trying to avoid in decolonization
<br><br>
"	"The French example in Algeria
<br><br>

<br><br>
"
"What did a rise in left wing politics mean for the empire
<br><br>
"	"They did not support imperialism
<br><br>

<br><br>
"
"What impact did Suez have on public opinion
<br><br>
"	"Started the era of distrust and loss of respect in politicians or 'the establishment', saw a demise of deference
<br><br>

<br><br>
"
"What was the demise of deference and what are some examples
<br><br>
"	"Changing opinions particularly in younger generations such as in 'angry young men' e.g. Look Back in Anger was a play by John Osborne. There was an end of deference in the lack of respect for politicians as well and mockeries were made of them such as in beyond the fringe and Peter cooks Harold Macmillan impression and in the private eye
<br><br>

<br><br>
"
"What was the 'permissive society'?
<br><br>
"	"Relaxation of traditional social attitudes surrounding ideas of sex and liberalisation
<br><br>

<br><br>
"
"What was an example of the permissive Society
<br><br>
"	"The lady chatterley's lover trial in 1960. Those who wanted it censored were seen as really out of touch
<br><br>

<br><br>
"
"What was the Profumo scandal
<br><br>
"	"In 1963, John Profumo the minister of war was having an affair with Christine Keeler who was also having an affair with a social diplomat spy. This became an issue of national security in which profumo lied to the House of Commons and to MacMillan who defended him. the truth was later revealed
<br><br>

<br><br>
"
"What was the impact of the Profumo scandal on the Conservative government
<br><br>
"	"Shredded macmillan's reputation and damages his government. Confirmed in people's minds that the ruling class were rotten and undeserving of unconditional respect
<br><br>

<br><br>
"
"What emerged in the 1960s
<br><br>
"	"Teenage and youth culture
<br><br>

<br><br>
"
"When did The Beatles release their first LP
<br><br>
"	"1963
<br><br>

<br><br>
"
"What was on the cover of The Beatles 1967 album, Sergeant pepper's lonely hearts club band
<br><br>
"	"The band were pictured wearing the elaborate military uniforms that had been associated with empire which showed a mockery of it
<br><br>

<br><br>
"
"What happens within the conservative party before the 1964 general election
<br><br>
"	"Following on from the Profumo scandal MacMillan steps down and puts forward Alex Douglas-Home who was described as the most 'establishment' old fashioned figure possible
<br><br>

<br><br>
"
"Who wins the 1964 general election
<br><br>
"	"Harold Wilson, labour, who wanted to turn Britain into a modern technological society and embrace the 'white heat' he is the political representation of the cultural shift.
<br><br>

<br><br>
"
"What was significant about Harold Wilson's election
<br><br>
"	"there was not another public school Prime Minister until David Cameron
<br><br>

<br><br>
"
"What does Wilson point the last of
<br><br>
"	"Last colonial secretary
<br><br>

<br><br>
"
"What happens in the 1967 sterling crisis
<br><br>
"	"Roy Jenkins, chancellor of the exchequer, cared very little about empire and in order to save the pound all military is withdrawn from east of suez, effectively ending the empire
<br><br>

<br><br>
"
"What continued well into the 1950s
<br><br>
"	"Immigration from Britain to the dominions
<br><br>

<br><br>
"
"What did the British nationality act of 1948 do
<br><br>
"	"Gave British citizenship to everyone in the empire
<br><br>

<br><br>
"
"What was the impact of the British nationality act of 1948
<br><br>
"	"It was anticipated that it would make life easier for the white British in their settler colonies but it actually caused a major rise in migration to Britain
<br><br>

<br><br>
"
"Which ship was associated with immigration
<br><br>
"	"The empire Windrush and in 1948 it first arrived bringing many West Indians to London
<br><br>

<br><br>
"
"What was an example of segregation
<br><br>
"	"The Bristol bus company would not employ black people
<br><br>

<br><br>
"
"What was the status of segregationist laws in the UK
<br><br>
"	"There was no institutionalised racism like American Jim Crow laws but there were no laws to prevent it either
<br><br>

<br><br>
"
"Who was Oswald Moseley
<br><br>
"	"A fascist and a racist who leads the British union of fascists but he never wins any seats
<br><br>

<br><br>
"
"What did the British Commonwealth immigrants act of 1962 do
<br><br>
"	"Makes it much easier for white migrants than non white migrants which demonstrated a growing resistance to immigrants
<br><br>

<br><br>
"
"What speech did Enoch Powell, a Tory MP, give
<br><br>
"	"The 'rivers of blood' speech in 1968 which argued that non white immigration was bad for Britain, and it predicted social division and large scale division. in it he used very prejudicial language
<br><br>

<br><br>
"
"What contributed to a rise in racist attitudes
<br><br>
"	"Increased immigration into Britain
<br><br>

<br><br>
"
"What was one of the first attempts to stop overt discrimination
<br><br>
"	"The race relations act of 1965
<br><br>

<br><br>
"
"What was an example of a imperial themed film
<br><br>
"	"Lawrence of Arabia in 1962
<br><br>

<br><br>
"
"What was an example of imperial support within music
<br><br>
"	"There was continued popularity of Elgar but this is difficult to disentangle from simple patriotism
<br><br>

<br><br>
"
"What were some examples of British institutions that had been steeped in empire that continued without their imperial role but still held aspects of an imperial ethos
<br><br>
"	"Public schools, the armed forces, the Church of England, the monarchy
<br><br>

<br><br>
"
"What was the impact of American culture
<br><br>
"	"There was development of popular culture with no imperial references and it was impossible to disentangle British English culture from American culture with the impact of English as a global language
<br><br>

<br><br>
"
