#separator:tab
#html:true
"When did India become independent?
<br><br>
"	"August 15, 1947
<br><br>

<br><br>
"
"What are some examples of nationalist pressures in India?
<br><br>
"	"Gandhi, the civil disobedient campaign, quit India movement in 1942
<br><br>

<br><br>
"
"What about Indian independence was significant in decolonisation
<br><br>
"	"India supposedly the heart of the Empire, however, it did carry on for another 20 odd years without it, also gave example to other colonies
<br><br>

<br><br>
"
"When did Burma become independent?
<br><br>
"	"January 1948
<br><br>

<br><br>
"
"What was happening in Burma prior to the end of World War II?
<br><br>
"	"Turmoil building including Japanese occupation in 1942, and then Britain reconquering it in 1944 to 45
<br><br>

<br><br>
"
"Who led the nationalists in Burma
<br><br>
"	"Aung San
<br><br>

<br><br>
"
"Why did the British Grant Burma independence?
<br><br>
"	"They knew they couldn't use more violence and it was also not particularly economically valuable, and they wanted a pro-western state
<br><br>

<br><br>
"
"When was the Gold Coast/Ghana given independence?
<br><br>
"	"1957
<br><br>

<br><br>
"
"What caused Ghanain independence?
<br><br>
"	"Series of riots and unrest and an increase in African power in government led by kwame nkhruma, who became prime minister 1952
<br><br>

<br><br>
"
"What can make nationalism seem like a bigger cause of decolonisation than it is
<br><br>
"	"Violent Anticolonial movements seen as Nationalist, even though they weren't fighting for a United nation
<br><br>

<br><br>
"
"Quote for stockwell
<br><br>
"	"""Authorities were influenced more by the dangers of lawlessness on a colony than by the force of the nationalist's demands""
<br><br>

<br><br>
"
"How many people died in the mau mau rebellion?
<br><br>
"	"13,500 Kenyans and 32 white people
<br><br>

<br><br>
"
"How many Kenyans were put in detention camps during the mau mau rebellion
<br><br>
"	"24,000
<br><br>

<br><br>
"
"What happened at the hola camp?
<br><br>
"	"March 1959, 11 kenyans beaten to death, which disgusted the British back home
<br><br>

<br><br>
"
"Who is Jomo Kenyatta?
<br><br>
"	"Jomo Kenyatta was the first prime minister of Kenya. The British pinpointed him as the leader of the may mau rebellion, although he believed self-government should be achieved through reform not revolution, which shows that the rebellion was not a nationalist movement led by him.
<br><br>

<br><br>
"
"What did hyam say of Kenyatta?
<br><br>
"	"Describes him as the ""most misunderstood nationalist leader in the history of British Africa""
<br><br>

<br><br>
"
"How many languages spoken in Nigeria?
<br><br>
"	"250
<br><br>

<br><br>
"
"What was the geographical divide in Nigeria?
<br><br>
"	"Less developed Islamic north, and an urbanised Christian south between which there were tensions
<br><br>

<br><br>
"
"When was Nigeria made independent?
<br><br>
"	"October 1960
<br><br>

<br><br>
"
"When did Kenya gain independence?
<br><br>
"	"December 12, 1963
<br><br>

<br><br>
"
"How was Nigerian not nationalist movement?
<br><br>
"	"Such a variety of ethnic groups and tribes that they were not fighting for any sort of joint nationality - nigeria did not really exist until its independence
<br><br>

<br><br>
"
"What was the growing trend of the USA?
<br><br>
"	"It was gaining power, and becoming much more influential than Britain was including over Britain itself, exposed most clearly in the suez crisis
<br><br>

<br><br>
"
"What were the consequences of the Suez crisis?
<br><br>
"	"Showed nationalists if they pushed harder, they could achieve independence; humiliated Britain and exposed its colonial ways as outdated; Anthony Eden forced to resign
<br><br>

<br><br>
"
"How did the Suez crisis show that the USA held a lot of influence over Britain?
<br><br>
"	"Eisenhower furious that Britain, France and Israel did this without consulting him, and he thought it was a very colonial act. He refused to support the sterling in the currency crisis in Britain, caused by the war, and so they had to announce a ceasefire in suez in order for the economy to not collapse
<br><br>

<br><br>
"
"When was the Suez Crisis?
<br><br>
"	"1956
<br><br>

<br><br>
"
"When was the French withdrawal from Algeria?
<br><br>
"	"1954-62
<br><br>

<br><br>
"
"What about the French withdrawal from Algeria affected Britain's colonial policy?
<br><br>
"	"It was very violent and difficult (even leading to a collapse of the fourth Republic). the British did not want to follow this example, so they were keen to not have conflicts with nationalists and therefore would meet their demands of independence
<br><br>

<br><br>
"
"How did the Cold War affect colonial policy?
<br><br>
"	"The main focus of foreign policy has shifted toward Europe and the Middle East, meaning colonial possessions were much less important
<br><br>

<br><br>
"
"How did the rising power of the USA and the USSR affect colonial policy?
<br><br>
"	"Britain no longer had a title to defend as much, and the USA and the USSR both very anti-imperial, showing the Empire to be outdated
<br><br>

<br><br>
"
"What suggests public apathy remained widespread?
<br><br>
"	"Imperial matters never played a significant role in an election, and in 1948, 1/2 of the population were unable to name a single colony
<br><br>

<br><br>
"
"How did the welfare state affect colonial policy?
<br><br>
"	"Funding to go to the welfare state rather than colonial possessions that didn't affect peoples lives
<br><br>

<br><br>
"
"When was Clement Attlee's labour government voted in?
<br><br>
"	"July 1945
<br><br>

<br><br>
"
"When was the NHS founded?
<br><br>
"	"1948
<br><br>

<br><br>
"
"How did the Suez crisis change the Conservative party?
<br><br>
"	"After Eden's resignation, Harold Macmillan took the party away from colonialism and aimed for a policy that would accelerate decolonisation. He acknowledged this in the winds of change speech.
<br><br>

<br><br>
"
"What was the 'winds of change' speech?
<br><br>
"	"Delivered to South African Parliament in Cape Town in 1960, McMillan acknowledged that changes were happening across Africa that would lead to demands for decolonisation
<br><br>

<br><br>
"
"In what way did the Suez crisis have cultural impacts in England?
<br><br>
"	"Made people lose faith in politicians and 'the establishment' and increased anti-imperialist views
<br><br>

<br><br>
"
"What does Hyam argue is the most important way to look at decolonisation
<br><br>
"	"To understand how Britain became ""prepared to open the door to self-rule, when nationalist leaders knocked and asked""
<br><br>

<br><br>
"
"How did britain's economic situation affect decolonization
<br><br>
"	"Britain's economic situation no longer made the empire viable in its immediate post World War Two state - the profits and prosperity brought had been one of the principal reasons for its existence so once it became a financial burden it is understandable that its dissolution was not resisted
<br><br>

<br><br>
"
"How did britain's economic situation impact its imperial and military power
<br><br>
"	"Its imperial and military power had always rested on its industrial and commercial pre eminence relative to other powers and this was eroded from the late 19th century onwards and so the British Empire was eclipsed by larger, more dynamic economies such as the USA the USSR and Germany. post 1945, Britain's economy was unable to sustain the image as a great power
<br><br>

<br><br>
"
"What percentage of imports came from the Commonwealth compared to Western Europe in 1948 compared to 1965
<br><br>
"	"Commonwealth: 1948: 45%, 1965: 30%<br>Western Europe: 1948: 21%, 1965: 31%
<br><br>

<br><br>
"
"What percentage of exports went to the Commonwealth compared to Western Europe in 1948 compared to 1965
<br><br>
"	"Commonwealth: 1948: 46%, 1965: 28%<br>Western Europe: 1948: 25%, 1965: 33%
<br><br>

<br><br>
"
"How can the statistics about exports and imports from the Commonwealth compared to the Western Europe in 1948/1965 be explained
<br><br>
"	"Europe was a mess anyway economically in 1948 so it makes sense that there was a higher proportion to the Commonwealth at this point, but ultimately the economic future of britain clearly laid with Europe and in the EEC
<br><br>

<br><br>
"
"What was some valuable economic assets in the empire
<br><br>
"	"Malayan rubber however this was a form of informal empire because it was not officially a colony
<br><br>

<br><br>
"
"What happened in the 1967 sterling crisis
<br><br>
"	"Britain had to devalue the pound by 15% and the new chancellor of the exchequer Roy Jenkins was an ardent supporter of the European Community and an opponent of britain's overextended global commitments, which led to Harold Wilson the Prime Minister announcing in January 1968 that Britain was withdrawing all significant forces east of Suez
<br><br>

<br><br>
"
"What was the impact of the 1967 sterling crisis
<br><br>
"	"The withdrawal of all significant forces east of Suez meant that Britain would no longer be a power in the Middle East, the Indian Ocean and the Far East, effectively ending the British Empire
<br><br>

<br><br>
"
"What did Wilson reference in January 1968 when he announced the withdrawal of troops from east of Suez
<br><br>
"	"Rudyard kipling's poem recessional which was about the end of the empire written in 1897
<br><br>

<br><br>
"
