#separator:tab
#html:true
"When was the third home rule bill passed
<br><br>
"	"1912
<br><br>

<br><br>
"
"What was their risk of in Ireland after the third home rule bill was passed in 1912
<br><br>
"	"civil war
<br><br>

<br><br>
"
"What happened to the third home rule bill passed in 1912
<br><br>
"	"It was postponed/not implemented due to the outbreak of World War One
<br><br>

<br><br>
"
"What was the Easter rising
<br><br>
"	"In 1916, there was an uprising against the British in Dublin, because the outbreak of the First World War led the British government to postpone any changes in Ireland regarding home rule. Many were killed or hung afterwards for uprising during the war and those killed were seen as martyrs for the nationalists
<br><br>

<br><br>
"
"What was significant about the results of the 1918 general election?
<br><br>
"	"Sinn Fein won the majority of the irish seats<br> in Westminster
<br><br>

<br><br>
"
"Why are members of Sinn Fein frustrated and what did they do?
<br><br>
"	"Delays to home-rule, so in 1918 they set up an assembly in Dublin (which was illegal)
<br><br>

<br><br>
"
"What did sinn fein declare in dublin in 1918
<br><br>
"	"They declared an Irish republic, and the IRA began a guerilla war against the British. This was the Anglo Irish war from 1919 to 1921
<br><br>

<br><br>
"
"Who were the black and tans? What did they symbolise?
<br><br>
"	"Ex-military police force fighting the IRA. They used a lot of violence. This shows that Irish nationalism was a threat because the British had to use violence
<br><br>

<br><br>
"
"What year was the Anglo Irish treaty signed?
<br><br>
"	"December 1921
<br><br>

<br><br>
"
"Who signed the Anglo Irish treaty?
<br><br>
"	"Michael Collins, the commander of the IRA
<br><br>

<br><br>
"
"What did the Anglo Irish treaty do?
<br><br>
"	"It created the Irish free state, ireland now treated as a self-governing dominion within the British Empire, said the British monarch would remain head of state, the 6 northern eastern counties could opt out (which they did), British could retain control of treaty ports for naval use.
<br><br>

<br><br>
"
"What did Michael Collins say After signing the treaty
<br><br>
"	"""I have signed my own death warrant"" he knew it would be unpopular, but he believed it offered Ireland ""the freedom to achieve freedom ""
<br><br>

<br><br>
"
"When was Collins assassinated?
<br><br>
"	"Nine months after the Anglo Irish treaty was signed in August 1922 by members of the antitreaty IRA
<br><br>

<br><br>
"
"What did Collins assassination demonstrate?
<br><br>
"	"Demonstrated the divisions within the Nationalists, which could suggest they were weak. However, it actually shows that the Irish nationalist were not going to settle for less, and instead were very committed to achieving their goals, even if by violence.
<br><br>

<br><br>
"
"Who was the leader of Sinn Fein?
<br><br>
"	"Éamon de Valera
<br><br>

<br><br>
"
"What did Devalera launch in 1922
<br><br>
"	"Irish Civil War 1922 to 23 because he refused to accept the compromises of the Anglo Irish treaty. The pro treaty side won
<br><br>

<br><br>
"
"When and how did southern Ireland gain equality of status in 1931
<br><br>
"	"At the 1931 statute of Westminster, Valera used this to effectively separate ireland completely
<br><br>

<br><br>
"
"What was Ireland renamed to?
<br><br>
"	"Eire 1937
<br><br>

<br><br>
"
"What did Ireland do in World War II?
<br><br>
"	"They were the only dominion to remain neutral, and they refused British use of the treaty ports. This made them a significant threat to British power in the war.
<br><br>

<br><br>
"
"In what year was Ireland fully separated from the Empire?
<br><br>
"	"1948 the Republic of Ireland act separated Ireland from the Empire, and from the Commonwealth. As this was only three years after World War II, it showed that pre-World War II they were very close to leaving.
<br><br>

<br><br>
"
"What did Ireland symbolise?
<br><br>
"	"That it was entirely possible to leave the British Empire by putting enough pressure on them, even though they were a small country next to England they still could not control them. Other colonies around the world would take advantage of them
<br><br>

<br><br>
"
"How was Irish nationalism threat to the British empire?
<br><br>
"	"Although Britain didn't care much for Ireland its self as a colony or a Dominion, it demonstrated to other colonies and dominions that were more important to Britain that it was possible to leave the British empire with enough rebellion. This made it a very significant threat to the Empire.
<br><br>

<br><br>
"
"How was Indian nationalidm a threat to the British empire?
<br><br>
"	"India was Britain's most important colony
<br><br>

<br><br>
"
"What impact did nationalism in Ireland have on nationalism in India?
<br><br>
"	"It showed that through rebellion, it was entirely possible to reach dominion status
<br><br>

<br><br>
"
"How did nationalism in India transform post-World War I?
<br><br>
"	"Pre-World War I it was largely a concept within educated elite. Now it was being taken up by the masses. This created an even greater threat for the British.
<br><br>

<br><br>
"
"Did India contribute to the war effort during World War I?
<br><br>
"	"500,000 extra soldiers and £100 million of financial contribution
<br><br>

<br><br>
"
"What was the Montague declaration?
<br><br>
"	"1917: India to have gradual developments towards increased self-government and ""responsible government"" within the Empire
<br><br>

<br><br>
"
"What was the government of India act?
<br><br>
"	"Montague Chelmsford reforms 1919: the Viceroy and Britain was still in charge of defence and foreign policy; provided local self-government and limited democratic elections, but not total independence
<br><br>

<br><br>
"
"How did the government of India act cause more problems?
<br><br>
"	"Further protests ensued when this did not satisfied demands. This led to Rowlett act of 1919.
<br><br>

<br><br>
"
"What was the Rowlett Act?
<br><br>
"	"1919 - allowed political cases to be tried without juries. This created even more tension, particularly in the Punjab.
<br><br>

<br><br>
"
"What did Gandhi do in response to the Rowlatt act
<br><br>
"	"6th of April 1919, he inspired a nationwide hartal (a massive protest involving strikes) to protest against it
<br><br>

<br><br>
"
"What was the Amritsar massacre?
<br><br>
"	"1919 in the Punjab the British killed around 1000 people (suggested by INC) at a gathering (both religious and political). This was a key moment that exposed the violence of the Raj which it claimed to be against.
<br><br>

<br><br>
"
"What did the Indian national Congress claim after the Amritsar massacre?
<br><br>
"	"That the British no longer possessed any moral authority to rule India
<br><br>

<br><br>
"
"What did the Amritsar massacre provoke?
<br><br>
"	"Galvanised gandhi's non-cooperation movement of 1920-22
<br><br>

<br><br>
"
"What was the consequence of the Amritsar massacre?
<br><br>
"	"General Dyer was censured and resigned. This was much contested in britain.
<br><br>

<br><br>
"
"What tactics did Gandhi use that meant the British couldn't win?
<br><br>
"	"He used nonviolent methods, so that when the British resorted to violence, they were exposed because they preached nonviolent and civilisation methods in the colonies
<br><br>

<br><br>
"
"When did the non-cooperation movement start
<br><br>
"	"1920
<br><br>

<br><br>
"
"What was the Chauri Chaura incident?
<br><br>
"	"1922: police open fired on a group of protesters participating in the non-corporation movement. In retaliation the protesters attacked and set a police station on fire, which killed 22 policeman.
<br><br>

<br><br>
"
"What did Gandhi do as a result of the chauri chaura incident
<br><br>
"	"Eight days afterwards, he halted the non-cooperation movement. However, 19 arrested demonstrators were still sentenced to death, and 14 were given life imprisonment.
<br><br>

<br><br>
"
"What did the chauri chaura incident demonstrate about gandhis non-violent movement
<br><br>
"	"That underlying it was a want for violent retaliation against the British amongst the Indians
<br><br>

<br><br>
"
"What was swaraj?
<br><br>
"	"Self-government
<br><br>

<br><br>
"
"What was Satyagraha?
<br><br>
"	"A philosophy of nonviolent resistance
<br><br>

<br><br>
"
"When was the salt march?
<br><br>
"	"1930
<br><br>

<br><br>
"
"What was the salt march?
<br><br>
"	"Salt made from the beaches of Dandi which broke the salt laws, which were in place to protect the government monopoly on salt as a non violent way of rebelling. Had mass participation, no longer confined to educated middle class
<br><br>

<br><br>
"
"When was the civil Disobedience movement?
<br><br>
"	"1932-34
<br><br>

<br><br>
"
"When and what was the Simon commission?
<br><br>
"	"1930 - recommended further devolution of responsibilities to provincial councils and the creation of the federal system of government
<br><br>

<br><br>
"
"Why was the Simon commission not enough?
<br><br>
"	"Did not recommend full Indian self-government
<br><br>

<br><br>
"
"What did Motilal Nehru do in 1926
<br><br>
"	"He demanded full dominion status for India and walked out of the central legislative assembly when it was rejected
<br><br>

<br><br>
"
"Who was encouraging uprisings in India
<br><br>
"	"The expatriate Indian population particularly in USA, Canada and Germany with help from the Irish Republic, Germany and Turkey. This caused strategic threats, as they may have been more likely to Ally with opposition to England.
<br><br>

<br><br>
"
"When and why was Gandhi arrested?
<br><br>
"	"1930 due to the violence in the riots. He was released in February 1931 to talk with Viceroy Irwin at the roundtable conferences in London on the basis that he would stop the civil disobedience movement
<br><br>

<br><br>
"
"What happened at the round table conference?
<br><br>
"	"No room for princely states (as they favoured British rule) in gandhis vision for India, and no agreement was reached
<br><br>

<br><br>
"
"What did Gandhi do after the round table conference?
<br><br>
"	"Upon his return home, he continued the civil disobedience movement immediately
<br><br>

<br><br>
"
"What was the government of India act?
<br><br>
"	"Passed in 1935, it said the provinces became self-governing, but retained a british governor
<br><br>

<br><br>
"
"What was the governmental structure of India after the government of India act 1935
<br><br>
"	"Now largely Indians, however a British governor could veto the provincial governments
<br><br>

<br><br>
"
"Why was the government of India act rejected?
<br><br>
"	"Congress sought full dominion status (the viceroy still had control of FP and defence) and the princely states feared a loss of their autonomy. They were refusing to accept concessions that weren't what they wanted.
<br><br>

<br><br>
"
"How could the movement be seen as weaker?
<br><br>
"	"Very strong divisions within the movement due to Muslims and Hindus. Gandhi was keen for India to stay united. However, Muslims want their own separate state, headed by Muhammad Ali Jinnah. Despite this, they were all still trying to have their own governing status, so it's still posed a great threat to the Empire
<br><br>

<br><br>
"
"What did the 1936/7 elections for provincial governments and assemblies show?
<br><br>
"	"That Muslims were now voting for the Muslim league, and turning away from Congress. Congress still win 7 out of 11 provinces.
<br><br>

<br><br>
"
"When was India granted independence?
<br><br>
"	"August 1947. This is very soon after the war, so it shows that the pre-war threats were very real.
<br><br>

<br><br>
"
"What happened in the war that suggested Britain still had ultimate control over India
<br><br>
"	"The viceroy declared war on behalf of India. Although this shows Britain had full control - furthers resentment
<br><br>

<br><br>
"
"What happened as a result of Linlithgo declaration of war?
<br><br>
"	"Every member of Congress resigns, and Gandhi leads more civil disobedience. However, the all muslim league decide to support the war effort with aims to push for concessions afterwards.
<br><br>

<br><br>
"
"What was the reason that the Indian nationalism post-World War I became much more clear cut and determined
<br><br>
"	"Jawaharlal Nehru had experience in European politics, and brought back the impact of socialism to India
<br><br>

<br><br>
"
"Why was the Middle East important to Britain?
<br><br>
"	"The Suez Canal, oil, and egyptian cotton so it had economic and strategic importance
<br><br>

<br><br>
"
"What did Britain do during World War One throughout the Middle East
<br><br>
"	"Made several incoherent promises for short term gain that were intentionally vague so they could be pushed in British favour, however this wasn't always totally effective
<br><br>

<br><br>
"
"What did Britain promised to Egypt during World War One
<br><br>
"	"Egyptian government if they were not disruptive
<br><br>

<br><br>
"
"What was the McMahon letter?
<br><br>
"	"1915 this was to the hashemites confirming favour of Arab nationalism
<br><br>

<br><br>
"
