#separator:tab
#html:true
"Which bits of German Africa did Britain acquire in 1919 as league of nation mandates
<br><br>
"	"Parts of togoland, Cameroon, tanganyika and South West Africa
<br><br>

<br><br>
"
"What was limited in non settler colonies
<br><br>
"	"Economic and social development. there was a colonial development act in 1929 but this was a rare example
<br><br>

<br><br>
"
"What led to colonies becoming more important
<br><br>
"	"The impact of the Great Depression
<br><br>

<br><br>
"
"What were the main settler colonies in Africa
<br><br>
"	"South Africa, Kenya and Rhodesia
<br><br>

<br><br>
"
"In Kenya, when had there been settler self government from
<br><br>
"	"1919
<br><br>

<br><br>
"
"Which ethnic group were impacted by settler self government in Kenya
<br><br>
"	"The Kikuyu. they were brushed to one side of their own land
<br><br>

<br><br>
"
"What was the Devonshire Declaration?
<br><br>
"	"In 1923 Kenya was declared as having potential to be a great white dominion
<br><br>

<br><br>
"
"When have there been settler government from in Southern Rhodesia
<br><br>
"	"1923
<br><br>

<br><br>
"
"Who was there a growing dominance of in South Africa after 1910
<br><br>
"	"Afrikaners. There were remaining tensions between pro imperial faction and the republican afrikaner faction. This also included a white dominance and marginalisation of the non white population that was assured after the 1931 statute of Westminster
<br><br>

<br><br>
"
"Who was the dominant figure in South African politics
<br><br>
"	"Jan smuts
<br><br>

<br><br>
"
"What proportion of British export market did Africa form
<br><br>
"	"It was never more than 3% in this period
<br><br>

<br><br>
"
"Why was nationalism slow to form in Africa
<br><br>
"	"artificial borders meant that national sense of identity was largely very weak; there was a lack of urban educated elite which is usually the class in which nationalism begins to take shape; indirect rule meant emphasis on collaboration with indigenous elites
<br><br>

<br><br>
"
"Why was there limited organised nationalism in West Africa
<br><br>
"	"There was limited African representation in legislative councils, because they were dominated by appointed traditional elites rather than elected nationalists
<br><br>

<br><br>
"
"What was founded in 1919
<br><br>
"	"The National Congress of West Africa founded in Accra which was dominated by educated middle class from the Gold Coast
<br><br>

<br><br>
"
"What was founded in 1925
<br><br>
"	"The West African students union. Nnamdi Azikiwe and Kwame Nkrumah were early members
<br><br>

<br><br>
"
"What was an example of anti colonial sentiment in East Africa
<br><br>
"	"There was Kikuyu resistance to white settlers in Kenya
<br><br>

<br><br>
"
"What was founded in 1921
<br><br>
"	"The East African association by Harry Thuku, a young kikuyu. was joined by Jomo Kenyetta in 1922
<br><br>

<br><br>
"
"What threatened the British position in East Africa
<br><br>
"	"The Italian invasion of abyssinia (Ethiopia) in 1935 to 1936
<br><br>

<br><br>
"
"What percentage of Nigerian children went to school
<br><br>
"	"5% by 1938
<br><br>

<br><br>
"
