#separator:tab
#html:true
"When was the League of Nations established
<br><br>
"	"10th January 1920
<br><br>

<br><br>
"
"What is britain's position in the league nations alongside other rival powers
<br><br>
"	"It is one of the guarantors of the peace with France. America does not join and Germany is not allowed to
<br><br>

<br><br>
"
"who was unsatisfied with the peace settlement in 1919
<br><br>
"	"Japan and Italy
<br><br>

<br><br>
"
"What happens to Germany and the Ottoman Empire after ww1
<br><br>
"	"They are both dismantled as empires
<br><br>

<br><br>
"
"What does the USA revert to after World War One
<br><br>
"	"Isolationism
<br><br>

<br><br>
"
"What ideology causes of rising fear
<br><br>
"	"Communism, post Russian Revolution
<br><br>

<br><br>
"
"What does the 1920s see
<br><br>
"	"Stable international order
<br><br>

<br><br>
"
"What were the Locarno agreements
<br><br>
"	"Signed December 1925, they established borders with Germany in the West, showed eastern borders with Poland were up for being revised, and it was also a peace agreement in Europe
<br><br>

<br><br>
"
"What was the impact of the Locarno agreements
<br><br>
"	"The success of the treaties led to germany's admission to the League of Nations in 1926
<br><br>

<br><br>
"
"Why was the pre ww1 treaty with Japan not renewed
<br><br>
"	"Because of favour of closer relations with the USA
<br><br>

<br><br>
"
"What was the Washington treaty
<br><br>
"	"1922 - it fixed US and British battleships at a higher number than the Japanese
<br><br>

<br><br>
"
"What did the 1930s see
<br><br>
"	"The Great Depression which caused political extremism to flourish
<br><br>

<br><br>
"
"What were the key areas in which political extremism grew in the 1930s
<br><br>
"	"Hitler in Germany in mainland Europe, Mussolini in Italy in the Mediterranean and Japan in Asia
<br><br>

<br><br>
"
"When was Hitler appointed chancellor
<br><br>
"	"30th January 1933
<br><br>

<br><br>
"
"What demonstrated the redundancy of the League of Nations and the Locarno pact
<br><br>
"	"The remilitarization of the rhineland by Hitler in 1936
<br><br>

<br><br>
"
"What was appeasement
<br><br>
"	"Giving concessions to avoid confrontation until a threat goes away. This was the primary policy used with Germany and was pursued until it could not be pursued any longer. Meant that Hitler was able to expand German territory unchecked
<br><br>

<br><br>
"
"What was the Anschluss?
<br><br>
"	"The annexation of Austria into the German Reich in March 1938
<br><br>

<br><br>
"
"What was the Stresa Front?
<br><br>
"	"A united stand made by Britain, France and Italy against Hitler's violations of the Treaty of Versailles, issuing a strongly worded protest, and an agreement resist any further attempts to change it
<br><br>

<br><br>
"
"Why was there no British or French intervention in the Spanish civil war, and what was the impact of this
<br><br>
"	"For fear they may escalate or broaden the conflict, however Italy and Germany were both quick to aid the nationalist side and played a key part in the defeat of the Republicans
<br><br>

<br><br>
"
"When was the Spanish civil war
<br><br>
"	"1936-1939
<br><br>

<br><br>
"
"What was the Munich agreement in 1938
<br><br>
"	"The decision to give the Sudetenland to Germany after they invaded it in the Sudeten crisis. this was an agreement between Britain France Germany and Italy but not Czechoslovakia
<br><br>

<br><br>
"
"What did Chamberlain call the Munich agreement?
<br><br>
"	"""peace for our time"", although he also started the process for rearming Britain
<br><br>

<br><br>
"
