#separator:tab
#html:true
"Who was Prime Minister in 1951
<br><br>
"	"Winston Churchill, now 77 years old
<br><br>

<br><br>
"
"What was Churchill determined to do
<br><br>
"	"Despite the loss of India he was determined to maintain britain's position as a world power alongside the USA in the USSR as in his view Britain and its Commonwealth must remain an independent force in the world
<br><br>

<br><br>
"
"Who was the foreign secretary whilst Churchill was Prime Minister
<br><br>
"	"Anthony Eden and he became increasingly dominant in the government and was ambitious for Prime Minister
<br><br>

<br><br>
"
"What was Anthony Eden like as a character
<br><br>
"	"Despite being much younger and seemed to be glamorous and energetic his health was poor and he found his work increasingly stressful
<br><br>

<br><br>
"
"In what cases was the USA less anti colonial
<br><br>
"	"They were less concerned to encourage decolonization in case the newly independent countries became communist
<br><br>

<br><br>
"
"When does Churchill retire
<br><br>
"	"1955 and Anthony Eden becomes Prime Minister
<br><br>

<br><br>
"
"What was the priority throughout churchills government from 1951 to 1955
<br><br>
"	"To maintain Britain strategic position and influence throughout the world
<br><br>

<br><br>
"
"Prior to and during World War Two what influence did Britain have within Egypt
<br><br>
"	"1936 anglo Egyptian treaty which stated Britain retained control of the canal; British military occupation of egypt during world war two
<br><br>

<br><br>
"
"What Cold War significance did Egypt have
<br><br>
"	"Egyptian airfields were within bombing range of the USSR and Soviet interests in the Middle East
<br><br>

<br><br>
"
"What did Britain find when they tried to negotiate with the nationalist Arab League
<br><br>
"	"They tried to negotiate with them to resist communist infiltration but found that the Arabs were not prepared to support Britain whilst Britain maintained its Suez garrisons and control of the Sudan where its presence was seen as an affront to Egypt which was the leading Arab nation
<br><br>

<br><br>
"
"What did king Farouk of egypt do in 1951
<br><br>
"	"He independently denounced the 1936 treaty and proclaimed himself the king of the Sudan
<br><br>

<br><br>
"
"When and by who was king Farouk of Egypt overthrown
<br><br>
"	"January 1952 by Colonel Nasser in a military coup
<br><br>

<br><br>
"
"What did Eden do as foreign secretary after the military coup in Egypt
<br><br>
"	"Immediately sought to negotiate and in 1953 an agreement was made on stages towards Sudanese independence, and in 1954 Britain also agreed to a phased withdrawal of troops from the Suez Canal zone over the next 20 months
<br><br>

<br><br>
"
"What did britains agreements with Egypt post military coup suggest
<br><br>
"	"They reflected their desire to improve Arab-anglo relations, but also showed britain's financial difficulties as they could not afford to maintain their bases and fortify the garrisons to resist the constant nationalist guerrilla attacks
<br><br>

<br><br>
"
"What did the Egyptians promise to the British in return for agreements made on Sudanese independence and withdrawal from the canal zone
<br><br>
"	"Free access through the Suez Canal; maintenance of the former British bases in an operational condition; to respect the independence of the Suez Canal company, ownership of which would revert to Egypt in 1968
<br><br>

<br><br>
"
"What did the agreements between Britain and Egypt lead to
<br><br>
"	"A constructive period of British diplomacy and Britain engineered the Baghdad pact in 1955 between Turkey, Pakistan, Iraq, Britain and Persia which was a military alliance in order to repel any Soviet threat towards the Middle East
<br><br>

<br><br>
"
"What did Nasser do with the Baghdad pact
<br><br>
"	"He refused to sign it and he put pressure on Jordan's king Hussein to remain out when Britain tried to bring them in. Fearing the pact threatened Egyptian dominance, nasser turned to communist Czechoslovakia for arms and signed an alliance with Syria which alarmed the new Prime Minister Anthony Eden
<br><br>

<br><br>
"
"What did Nasser do in June 1956
<br><br>
"	"Made himself president of Egypt
<br><br>

<br><br>
"
"What did Nasser's plans for advancing Egypt centre on
<br><br>
"	"The construction of the aswan high dam which he hoped to make the core of a programme of irrigation, flood control and electrification
<br><br>

<br><br>
"
"Where did Nasser have promises of financial aid from for the construction of the aswan high dam
<br><br>
"	"From both the West and from Russia, but in 1955 the usa, britain and the world bank announced that they were withdrawing their funding because of nasser's continued association with communist powers
<br><br>

<br><br>
"
"When did Nasser announce nationalisation of the Suez Canal company
<br><br>
"	"16th of July 1956
<br><br>

<br><br>
"
"How was the nationalisation of the Suez Canal company damaging to Britain
<br><br>
"	"It was a direct attack as they held approximately 44% of the shares in the company (although Nasser had promised to compensate shareholders) and it also threatened their position in the Middle East
<br><br>

<br><br>
"
"What was france's response to the nationalisation of the Suez Canal company
<br><br>
"	"They were outraged and invited Britain to join in a joint assault on Egypt in alliance with Israel
<br><br>

<br><br>
"
"What did britain do initially after the nationalisation of the suez canal company?
<br><br>
"	"Britain applied diplomatic pressure to make Nasser reverse the decision whilst they simultaneously prepared for failure
<br><br>

<br><br>
"
"How were diplomatic attempts through the UN to resolve the problem going and what was happening simultaneously
<br><br>
"	"Continued diplomatic attempts to the UN failed and simultaneously secret Anglo French military discussions took place
<br><br>

<br><br>
"
"What did Eden believe about Nasser
<br><br>
"	"His attitudes hardened and he believed that only the removal of Nasser would ensure the security of British and French interests. He proclaimed he wanted Nasser destroyed and he compared him to Hitler, and was determined not to repeat appeasement
<br><br>

<br><br>
"
"What was the protocol of servres
<br><br>
"	"The plan hatched by France, Britain in Israel in which Israel would attack Egypt on the 29th of October and on the following day France and Britain would demand both sides to stop fighting and to withdraw troops from the canal zone. Then they would invade on the 31st of October to defend the canal
<br><br>

<br><br>
"
"At which point did Britain and France 'intervene'
<br><br>
"	"When the Israelis forced the Egyptians back through the sinai peninsula towards the canal
<br><br>

<br><br>
"
"What did the Anglo French force do as they intervened
<br><br>
"	"They knocked out the Egyptian Air Force and they landed at the top of the canal, but the Egyptians blocked the canal with sunken ships
<br><br>

<br><br>
"
"What had Britain miscalculated and what impact did this have
<br><br>
"	"The international reaction in particular from the USA. They had embarked on military actions without even informing the USA who immediately condemned the attack and refused to support the sterling in the currency crisis which the war had brought on. They were isolated, even within the Commonwealth
<br><br>

<br><br>
"
"When did Britain announce ceasefire
<br><br>
"	"Within five days of the attack and they began to withdraw troops within weeks
<br><br>

<br><br>
"
"What happened to Anthony Eden
<br><br>
"	"He was forced to resign in january 1957
<br><br>

<br><br>
"
"What impact did the Suez crisis have on the beliefs about the longevity of empire
<br><br>
"	"It did not end britain's belief in its world power or its commitments to defend the residual empire, but there was a growing realisation that the days of empire were numbered
<br><br>

<br><br>
"
"After Suez what would Britain never do again
<br><br>
"	"Any imperial or international affairs without the approval and close consultation of the USA. This demonstrated that the illusion that Britain might restore itself as a major world power was finally dispelled
<br><br>

<br><br>
"
"What did the Suez crisis demonstrate to nationalists
<br><br>
"	"that if they pushed harder Britain could be forced to surrender which made it much harder to contain the movements
<br><br>

<br><br>
"
"What did the Suez crisis call into question in relation to colonies in Africa
<br><br>
"	"The credibility of plans to hold onto formal colonies in Africa and it encouraged politicians to accept that it was best to accede to nationalist demands
<br><br>

<br><br>
"
"What impact did the Suez crisis have on the notion that Britain could manage its imperial repeat
<br><br>
"	"Completely dispelled the idea that Britain could manage and control imperial retreat in a way that would preserve British power
<br><br>

<br><br>
"
"What affect did the Suez crisis have on British public opinion according to hyam
<br><br>
"	"'That it was a moment of blinding revelation for many British people but the days of empire were numbered' and that 'politicians would no longer get the benefit of the doubt'.
<br><br>

<br><br>
"
"What effect did the Suez crisis have on public opinion on politicians
<br><br>
"	"Saw a rise in the belief in 'the establishment' and distrust in politicians
<br><br>

<br><br>
"
"What was Suez a failure in
<br><br>
"	"It was not a military failure but a diplomatic one
<br><br>

<br><br>
"
"What did eden's successor Macmillan do
<br><br>
"	"He accepted the realities of britain's shrunken status and moved towards a decolonization policy. He abandoned the conservative traditional position as the empire party and instead emphasised the 'special relationship' with the usa and look towards Western Europe as the economic focus of britain's future. However he had initially continued eden's colonial policy for the first two years as prime minister
<br><br>

<br><br>
"
"What did Louis Robinson say about the Suez crisis
<br><br>
"	"'Suez had exposed the American essentials underlying British power for all to see'
<br><br>

<br><br>
"
"What impact did the Suez crisis have on defence
<br><br>
"	"After the loss of their dominance in the Middle East, defence reforms in 1957 reduced the scale of britain's armed forces and their commitments overseas, ended national service, and focused on the developments of britain's independent nuclear deterrent at the core of their country's defence. This curtailed their ability to intervene in future colonial disputes
<br><br>

<br><br>
"
"What impact did the Suez crisis have on britain's leadership of the Commonwealth
<br><br>
"	"It was damaged. Nehru and India sided with Egypt
<br><br>

<br><br>
"
"What happened to Britain in the UN
<br><br>
"	"Became Public Enemy no. 1
<br><br>

<br><br>
"
"What did historian lapping say about the impact of the suez crisis
<br><br>
"	"'Everybody saw that the imperial gunboat no longer worked' - Egypt was an inspiration for anti colonialism and nationalism and the Americans and Soviets began more proactive campaigns to win the 'hearts and minds' of Africa
<br><br>

<br><br>
"
