#separator:tab
#html:true
"How was britain's position described in 1940
<br><br>
"	"Strategic abyss
<br><br>

<br><br>
"
"When and what was Dunkirk
<br><br>
"	"May 1940 and it was a large scale evacuation of British men after advances had been made by the Germans
<br><br>

<br><br>
"
"What was the impact of Dunkirk
<br><br>
"	"Although the evacuation itself was painted as a success it was ultimately a matter of humiliation for the British
<br><br>

<br><br>
"
"When do the French surrender to Germany
<br><br>
"	"June 1940 and Germany now dominated mainland Europe
<br><br>

<br><br>
"
"When in what was the Battle of Britain
<br><br>
"	"June - July 1940 and it was fought over southern Britain. it was a display of power of the RAF in which they beat the Luftwaffe
<br><br>

<br><br>
"
"What happened September onwards in 1940
<br><br>
"	"The blitz which was a second attempt after the Battle of Britain to destroy Britain before invading it by the Germans
<br><br>

<br><br>
"
"What was the reality of the myth that Britain was involved in a David V Goliath struggle with Germany
<br><br>
"	"Britain's armed forces were much better equipped than the German armed forces. The army was small but the raf had the edge over the luftwaffe and the Royal Navy was still much bigger than the kriegsmarine
<br><br>

<br><br>
"
"What was the reality of the myth that Britain stood in great peril in the summer of 1940, in which it achieved a miracle at Dunkirk and then saved itself from the likely invasion during the Battle of Britain
<br><br>
"	"The Dunkirk evacuation represented a strategic catastrophe for Britain and the threat of invasion was always tiny, the RAF was never on the verge of defeat during the Battle of Britain
<br><br>

<br><br>
"
"What was the reality of the myth that Britain stood alone against Germany
<br><br>
"	"It was never 'alone' and stood alongside its empire and the dominions at the centre of a world system of trade and influence
<br><br>

<br><br>
"
"What was the reality to the myth that 1940 saw unprecedented national solidarity - the 'blitz spirit'
<br><br>
"	"This was actually a creation of propaganda and the public opinion was neither united nor optimistic. Survival and endurance were the priority rather than exhibiting 'pluck'
<br><br>

<br><br>
"
"What was the reality to the myth that Britain had sacrificed itself as a world power to rid the world of Nazism, and that 1940 was the central reason in explaining britain's 'decline'
<br><br>
"	"Britain did not consciously sacrifice itself in 1940 for the greater good - it still aspired to superpower status into the 1950s and the myth of decline is a much longer phenomenon
<br><br>

<br><br>
"
"When was the battle of the Atlantic
<br><br>
"	"Sep 3, 1939 - May 8, 1945
<br><br>

<br><br>
"
"What was the key outcome of the battle of the Atlantic in terms of britain's (supposed) decline
<br><br>
"	"Overstretch of the Royal Navy
<br><br>

<br><br>
"
"When do the Japanese attack Malaya
<br><br>
"	"December 1941
<br><br>

<br><br>
"
"When was the fall of Singapore to the Japanese
<br><br>
"	"1942
<br><br>

<br><br>
"
"What issues were there in India during the war
<br><br>
"	"Japanese invasion of Burma and India as well as the quit India campaign in 1942
<br><br>

<br><br>
"
"What happened to the British naval fleet when fighting the Japanese in order to defend Malaya
<br><br>
"	"The sinking of HMS Prince of Wales and HMS repulse in December 1941 by the Japanese. This was significant because they were the First Capital ships to be sunk solely by air power on the open sea which demonstrated the diminishing role of this class of ships in naval warfare, and perhaps the diminishing power Britain held with a powerful Navy in the face of aircraft
<br><br>

<br><br>
"
"When does Japan take Hong Kong
<br><br>
"	"December 1941
<br><br>

<br><br>
"
"What was the impact of the Japanese invasion across Asia
<br><br>
"	"Really threatened the Raj and British dominance in Asia crumbles completely
<br><br>

<br><br>
"
"What happened to British and anzac prisoners of war that were taken by the Japanese
<br><br>
"	"They were used in slave labour and kept in very poor conditions
<br><br>

<br><br>
"
"Where else was the empire threatened by the Italians and the German forces
<br><br>
"	"North Africa, Malta and Egypt in 1942
<br><br>

<br><br>
"
"When does Germany invade the Soviet Union and what happens next
<br><br>
"	"1941 and so the Soviet Union becomes an ally of Britain
<br><br>

<br><br>
"
"When and why does the USA join the war
<br><br>
"	"In December 1941 Japan bombed Pearl harbour and so the USA joined the war allied with Britain
<br><br>

<br><br>
"
"Why was the USA joining the war helpful
<br><br>
"	"They played a great economic role in World War Two in supporting Britain notably through Lend Lease in which they basically just gave Britain loads of supplies
<br><br>

<br><br>
"
"What was the impact of the USA and the Soviet Union allying with Britain during the war on Germany
<br><br>
"	"Germany could not compete with the USSR in the east and Britain and the USA in the West or in the South
<br><br>

<br><br>
"
"In which battle was the North Africa position saved
<br><br>
"	"The battle of El alamein in November 1942
<br><br>

<br><br>
"
"What alliance was there from 1941 onwards
<br><br>
"	"The grand alliance with the USSR and the USA
<br><br>

<br><br>
"
"what tactics helped win the war against Germany in Europe
<br><br>
"	"Strategic bombing of Germany and the opening of the second front which was D-Day in June 1944
<br><br>

<br><br>
"
"What is D-Day?
<br><br>
"	"When allied troops began the invasion of Europe on the beaches of Normandy, France.
<br><br>

<br><br>
"
"How many men did the dominions and colonies provide in total
<br><br>
"	"5 million servicemen
<br><br>

<br><br>
"
"What did the dominions and the colonies provide during the war
<br><br>
"	"Troops and resources
<br><br>

<br><br>
"
"What shifted towards the colonies in terms of production
<br><br>
"	"Industrial and food production
<br><br>

<br><br>
"
"When was the first colonial development of welfare act during the war
<br><br>
"	"1940
<br><br>

<br><br>
"
"What did service from the periphery suggest for the post war British Empire
<br><br>
"	"That concessions would be made
<br><br>

<br><br>
"
"How big was the volunteer army from India
<br><br>
"	"2 million men which demonstrated that they would rather be under british rule than under the axis powers
<br><br>

<br><br>
"
"Who were they fighting against in eastern India
<br><br>
"	"The Japanese
<br><br>

<br><br>
"
"When was the quit India movement
<br><br>
"	"1942
<br><br>

<br><br>
"
"When was the Bengal famine and what did it lead to
<br><br>
"	"1943-44, even further demands for independence
<br><br>

<br><br>
"
"What was the Indian national army
<br><br>
"	"Led by subhas Chandra Bose they allied with the Japanese and fought against Britain
<br><br>

<br><br>
"
"Who were there divisions between in India
<br><br>
"	"Between Congress and the All India Muslim league. Congress does not help the war effort whereas the Muslim league does in order to push for concessions post war
<br><br>

<br><br>
"
"How did Winston Churchill provide leadership to the people of Britain
<br><br>
"	"Not just from a political level but also from his oratory skills and his attitudes
<br><br>

<br><br>
"
"What were Churchill's key political views
<br><br>
"	"He was a staunch imperialist and had very Victorian views. This attitude may have been what allowed him to pull Britain through the war stop he was very intolerant to Indian nationalism which would impact the demands for independence. However he does sign the atlantic charter with roosevelt
<br><br>

<br><br>
"
"What was the Atlantic charter
<br><br>
"	"A 1941 agreement on a set of shared principles outlined by Roosevelt and Churchill, it drew from Woodrow Wilson's Fourteen Points Plan. In the third clause it stated they wish to see 'self government restored to those who have been forcibly deprived' of it. This was intended to be applied to Eastern Europe but Churchill was aware of the global implications
<br><br>

<br><br>
"
