#separator:tab
#html:true
"Where was Eisenhower born and raised
<br><br>
"	"Born in Texas raised in Kansas
<br><br>

<br><br>
"
"What did Eisenhower say about political activity before he engaged in it
<br><br>
"	"Distasteful
<br><br>

<br><br>
"
"Why did ike decide to run for president
<br><br>
"	"He feared for US foreign and defence policy in the hands of senator Taft who he described as 'a very stupid man'
<br><br>

<br><br>
"
"Why was Nixon a good running mate
<br><br>
"	"Tough on Democrats, relatively young, energetic campaigner
<br><br>

<br><br>
"
"What did conservative voters like about Eisenhower's opposition to
<br><br>
"	"He opposed federal budget deficit, high taxes, government bureaucracy, socialised medicine. <br>He supported states rights
<br><br>

<br><br>
"
"Why else did conservative voters like Eisenhower
<br><br>
"	"War hero, criticised Democratic failures at yalta, said truman lost China, criticise containment an advocate for rollback he was a more aggressive anti-Communist
<br><br>

<br><br>
"
"What is dynamic conservatism
<br><br>
"	"Conservative when it comes to money, liberal when it comes to people
<br><br>

<br><br>
"
"What did Eisenhower consider essential for national security
<br><br>
"	"Sound economy - ""a bankrupt America is a defenceless America ""
<br><br>

<br><br>
"
"What did ike think was one of the greatest threats to American prosperity
<br><br>
"	"Inflationary government expenditure
<br><br>

<br><br>
"
"How much had defence expenditure increased by in Truman's final 30 months
<br><br>
"	"300%
<br><br>

<br><br>
"
"What was Eisenhower constantly seeking to do
<br><br>
"	"Balance the budget
<br><br>

<br><br>
"
"What were Republicans, Democrats and the press particularly critical of After defence cuts
<br><br>
"	"The Soviets took the lead in the space race after Eisenhower had been making large defence cuts
<br><br>

<br><br>
"
"What did Eisenhower blame for making him spend more than a defence that he wanted to
<br><br>
"	"Military industrial complex which he coined the concept of in his final address
<br><br>

<br><br>
"
"How did he improve social security
<br><br>
"	"Improved Social Security benefits and added 10 million including many African-Americans to its coverage in 1954
<br><br>

<br><br>
"
"What did he raise the minimum wage to
<br><br>
"	"1955 $.75 to $1 per hour
<br><br>

<br><br>
"
"What did he give federal aid to
<br><br>
"	"Education and public housing
<br><br>

<br><br>
"
"Who were Social Security benefits financed by
<br><br>
"	"Worker contributions Not federal aid
<br><br>

<br><br>
"
"Who was the minimum wage rise financed by
<br><br>
"	"Employers Not federal aid
<br><br>

<br><br>
"
"What was arguably the motivation behind increase funding on education and interstate highway
<br><br>
"	"Cold War pressures rather than well-being and Quality of life of population
<br><br>

<br><br>
"
"What did Eisenhower often declare as important as defence, possibly more so
<br><br>
"	"Education
<br><br>

<br><br>
"
"What was there a shortage on in the 1950s
<br><br>
"	"School buildings and teachers.
<br><br>

<br><br>
"
"What did one critic say of Eisenhower's dynamic conservatism
<br><br>
"	"He would ""strongly recommend the building of a great many schools, but not provide the money""
<br><br>

<br><br>
"
"In education, what did Ike propose legislation to do?
<br><br>
"	"Help finance school construction in poor states, but Congress rejected it as it would benefit the segregated South
<br><br>

<br><br>
"
"What did Congress pass in 1958 and Why
<br><br>
"	"Threatened by Sputnik, they passed the 1958 national defence education act. It gave low-cost loans to college students and federal funding states to improve maths science and which were subjects considered important for Cold War struggle
<br><br>

<br><br>
"
"How was the national defence education act Revolutionary
<br><br>
"	"Introduce direct federal aid to education
<br><br>

<br><br>
"
"In education, what did Ike continue from Truman
<br><br>
"	"Free lunch program
<br><br>

<br><br>
"
"What did many argue that the preoccupation with a balanced budget and managing inflation resulted in
<br><br>
"	"Failure to promote economic growth and prosperity
<br><br>

<br><br>
"
"When were the recessions
<br><br>
"	"July 1953, and 1957-1958
<br><br>

<br><br>
"
"What did unemployment rise to in 1957-8
<br><br>
"	"From 4.3% - 7.4%
<br><br>

<br><br>
"
"What did polls reveal about unemployment in 1957
<br><br>
"	"Americans number one problem, but Ike still focused on inflation
<br><br>

<br><br>
"
"What project provided employment for many
<br><br>
"	"Interstate highway project
<br><br>

<br><br>
"
"What did Ike do that meant he felt the poor quality of American roads
<br><br>
"	"Led a military convoy across America in 1919
<br><br>

<br><br>
"
"What necessitated more/better roads
<br><br>
"	"Increasing number of cars
<br><br>

<br><br>
"
"Why did Eisenhower think the federal government had to do the highway project
<br><br>
"	"Poor roads mostly due to federal-state disagreements over funding and he thought only the federal government could do this because it needed national overview
<br><br>

<br><br>
"
"What was another construction project
<br><br>
"	"Saint Lawrence seaway which open the Great Lakes to Ocean traffic in at 1959
<br><br>

<br><br>
"
"What was something that under Truman continued into the 50s
<br><br>
"	"Housing shortage
<br><br>

<br><br>
"
"How many houses were built
<br><br>
"	"11 million of 13 million built between 1948 to 1958 in the suburbs mostly. 1950s saw rise in suburbia
<br><br>

<br><br>
"
"How many Americans owned a house
<br><br>
"	"2/3 in 1960
<br><br>

<br><br>
"
"What percentage Of population growth happened in the suburbs
<br><br>
"	"80% between 1950-1970
<br><br>

<br><br>
"
"What was the quality of abortions
<br><br>
"	"Abortions dangerous and illegal demonstrated lack of female health care
<br><br>

<br><br>
"
"What percentage of elementary teachers and high school principles were female
<br><br>
"	"85% female elementary teachers, 10% female high school principles.
<br><br>

<br><br>
"
"What was quality of life like for women
<br><br>
"	"Some cherished the opportunity to start a family but many were depressed and felt unfulfilled
<br><br>

<br><br>
"
