#separator:tab
#html:true
"Why did many fear another depression?
<br><br>
[sound:quizlet-1754475619430405-front.mp3]"	"Factories laid-off workers and 12 million demobilised veterans returned home
<br><br>

<br><br>
[sound:quizlet-1754475619430405-back.mp3]"
"Why did congress dilute trumans proposed legislation, committing the government to full employment
<br><br>
[sound:quizlet-1754475619430406-front.mp3]"	"The federal government was in power only to ""use all practical means"" to foster ""maximum employment,""
<br><br>

<br><br>
[sound:quizlet-1754475619430406-back.mp3]"
"Why did manufacturing industries boom?
<br><br>
[sound:quizlet-1754475619430407-front.mp3]"	"Factories reverted to peacetime production and struggled to meet the pent-up consumer enthusiasm with their disposable income
<br><br>

<br><br>
[sound:quizlet-1754475619430407-back.mp3]"
"What was inflation at?
<br><br>
[sound:quizlet-1754475619430408-front.mp3]"	"1945 to 1946 inflation hit 25%
<br><br>

<br><br>
[sound:quizlet-1754475619430408-back.mp3]"
"What was causing the inflation partially?
<br><br>
[sound:quizlet-1754475619430409-front.mp3]"	"Employees wanted higher prices and lower wages but unions wanted pay rises to cope with the inflation. this frustrated Truman as both would cause inflation
<br><br>

<br><br>
[sound:quizlet-1754475619430409-back.mp3]"
"What did Truman do to try to combat the inflation?
<br><br>
[sound:quizlet-1754475619430410-front.mp3]"	"He sought price controls, but conservative Democrats and the Republicans wanted restoration of the free market
<br><br>

<br><br>
[sound:quizlet-1754475619430410-back.mp3]"
"how bad were the strikes in 1946?
<br><br>
[sound:quizlet-1754475619430411-front.mp3]"	"Employees rejected demands for pay rises and there were 4985 strikes involving 4.6 million workers and the loss of 116 million working days.
<br><br>

<br><br>
[sound:quizlet-1754475619430411-back.mp3]"
"What did railroad workers do in 1946
<br><br>
[sound:quizlet-1754475619430412-front.mp3]"	"They threatened to strike in May, and when union leaders were told they can't just say no to a president they replied with ""nobody paid much attention to this president""
<br><br>

<br><br>
[sound:quizlet-1754475619430412-back.mp3]"
"What was Truman's response to the strikes?
<br><br>
[sound:quizlet-1754475619430413-front.mp3]"	"He was urged to get tough, and he told Congress he will conscripted the workers and have the army run the railroads. simultaneously, the workers called off the strike
<br><br>

<br><br>
[sound:quizlet-1754475619430413-back.mp3]"
"What happened in November 1946
<br><br>
[sound:quizlet-1754475619430414-front.mp3]"	"Union mine workers went on strike, but the Truman administration took the union leaders to court and won
<br><br>

<br><br>
[sound:quizlet-1754475619430414-back.mp3]"
"What was the Taft-Hartley Act?
<br><br>
[sound:quizlet-1754475619430415-front.mp3]"	"Passed in 1947 over Truman's veto it greatly restricted unions and removed incentive to join because people were tired of strikes
<br><br>

<br><br>
[sound:quizlet-1754475619430415-back.mp3]"
"When and why did steelworkers threatened strike?
<br><br>
[sound:quizlet-1754475619430416-front.mp3]"	"April 1952, because they had not had a pay rise since 1950, despite soaring steel profits and steel production was vital for the Korean War effort
<br><br>

<br><br>
[sound:quizlet-1754475619430416-back.mp3]"
"Why did many fear another depression?
<br><br>
"	"Factories laid-off workers and 12 million demobilised veterans returned home
<br><br>

<br><br>
"
"Why did congress dilute trumans proposed legislation, committing the government to full employment
<br><br>
"	"The federal government was in power only to ""use all practical means"" to foster ""maximum employment,""
<br><br>

<br><br>
"
"Why did manufacturing industries boom?
<br><br>
"	"Factories reverted to peacetime production and struggled to meet the pent-up consumer enthusiasm with their disposable income
<br><br>

<br><br>
"
"What was inflation at?
<br><br>
"	"1945 to 1946 inflation hit 25%
<br><br>

<br><br>
"
"What was causing the inflation partially?
<br><br>
"	"Employees wanted higher prices and lower wages but unions wanted pay rises to cope with the inflation. this frustrated Truman as both would cause inflation
<br><br>

<br><br>
"
"What did Truman do to try to combat the inflation?
<br><br>
"	"He sought price controls, but conservative Democrats and the Republicans wanted restoration of the free market
<br><br>

<br><br>
"
"how bad were the strikes in 1946?
<br><br>
"	"Employees rejected demands for pay rises and there were 4985 strikes involving 4.6 million workers and the loss of 116 million working days.
<br><br>

<br><br>
"
"What did railroad workers do in 1946
<br><br>
"	"They threatened to strike in May, and when union leaders were told they can't just say no to a president they replied with ""nobody paid much attention to this president""
<br><br>

<br><br>
"
"What was Truman's response to the strikes?
<br><br>
"	"He was urged to get tough, and he told Congress he will conscripted the workers and have the army run the railroads. simultaneously, the workers called off the strike
<br><br>

<br><br>
"
"What happened in November 1946
<br><br>
"	"Union mine workers went on strike, but the Truman administration took the union leaders to court and won
<br><br>

<br><br>
"
"What was the Taft-Hartley Act?
<br><br>
"	"Passed in 1947 over Truman's veto it greatly restricted unions and removed incentive to join because people were tired of strikes
<br><br>

<br><br>
"
"When and why did steelworkers threatened strike?
<br><br>
"	"April 1952, because they had not had a pay rise since 1950, despite soaring steel profits and steel production was vital for the Korean War effort
<br><br>

<br><br>
"
"What did Truman do in response to the steel strike threats
<br><br>
"	"He used executive powers to seize control of the steel mills - ""the president has the power to keep this country from going to hell,"". The Washington post declared it one of the most high-handed acts by any president.
<br><br>

<br><br>
"
"What happened as a result of Truman's response to the steel mill strikes
<br><br>
"	"Owners did not want federal government to control their Mills and appealed to the courts which ruled the president had exceeded his executive authority
<br><br>

<br><br>
"
"How long did the steel strikes last?
<br><br>
"	"Several months and it damaged war production. Eventually settled on the same terms Truman had suggested months before.
<br><br>

<br><br>
"
"What did the steel mill strikes begin a pattern of?
<br><br>
"	"A Cold War pattern federal government to defence expenditure at the expense of domestic programs
<br><br>

<br><br>
"
"What was Truman's relationship with Congress like?
<br><br>
"	"Terrible, they rejected most of his legislative proposals, and he vetoed 250 bills passed by Congress and was over ridden 12 times. Congress resented an increase in presidential power and wanted to regain initiative.
<br><br>

<br><br>
"
"Who was Joseph Martin and what did he say in 1945 about Truman?
<br><br>
"	"House minority leader, and he complained that ""not even president Roosevelt had asked for so much in one sitting""
<br><br>

<br><br>
"
"What was the Republicans slogan during the 1946 midterms?
<br><br>
"	"""Had enough?""
<br><br>

<br><br>
"
"Who held Congress in 1946- 1948
<br><br>
"	"The Republicans and they were described as a do nothing Congress- they saw this as an opportunity for their own policies, but really polls revealed the win was a reaction to the strikes
<br><br>

<br><br>
"
"What were his interparty relations like?
<br><br>
"	"He had few congressional allies. Liberal Democrats wanted more new deal style policies, but conservatives want the opposite. southern democrats disagreed with him on civil rights. The Dixiecrats left the party.
<br><br>

<br><br>
"
"What was Truman's re-election campaign like?
<br><br>
"	"He embarked on a 33- day, 30,000 mile, whistlestop tour of the nation, defending his record, and attacking the Republican do nothing Congress. He showed crowds his family to play on American family values.
<br><br>

<br><br>
"
"What were the responses to his re-election campaign?
<br><br>
"	"""The common man's man"" and many responded to his accusations of a do nothing Congress
<br><br>

<br><br>
"
"What was some reasons for his victory in 1948 (6 reasons)
<br><br>
"	"Many benefiting from economic boom, won farmers vote as an old farm boy, traditionally Democratic unions didn't like him but preferred him to Republicans, African-Americans liked his stance on civil rights, many admired his resistance to communism during the Berlin blockade, and dewey ran an overconfident uninspired campaign
<br><br>

<br><br>
"
"What were the results of the 1948 election?
<br><br>
"	"He defeated dewey by over 2 million votes, and they regained control of Congress
<br><br>

<br><br>
"
"What was Truman fair deal?
<br><br>
"	"January 1949, social reforms: Social Security extended to an extra million Americans, minimum wage increase from $.40 to $.75, farmers assisted by measures for soil conservation, Flood control and rural electrification
<br><br>

<br><br>
"
"What was wrong with housing?
<br><br>
"	"Postwar housing shortage worst in American history. Congress reluctantly passed 1949 housing act for 810,000 federally subsidised public housing units for low-income Americans
<br><br>

<br><br>
"
"What proportion of the houses from the 1949 housing act were built?
<br><br>
"	"Only 156,000 by 1952
<br><br>

<br><br>
"
