#separator:tab
#html:true
"in 1945 how many african americans were there?
<br><br>
"	"14 million, 10% of US population. 3/4 lived in the south
<br><br>

<br><br>
"
"example of social segregation in the south
<br><br>
"	"served icecream out of a side window in paper cup so white people wouldn't have to use something used by a black person
<br><br>

<br><br>
"
"what jobs did many AA hold?
<br><br>
"	"in agriculture, sharecroppers, bell hops, domestics. many worked at tasks that left their potential unfulfilled.
<br><br>

<br><br>
"
"1945 - what job did rosa parks have?
<br><br>
"	"part time seamstress in Montgomery, AL at a dept store, and as a cleaner for a white family
<br><br>

<br><br>
"
"why was it difficult to escape the poverty trap?
<br><br>
"	"segregated black schools far inferior to white ones
<br><br>

<br><br>
"
"what percentage of AA could vote?
<br><br>
"	"1940: 3%, 1947: 12%
<br><br>

<br><br>
"
"why was it difficult to vote?
<br><br>
"	"practically impossible literacy tests and a poll tax many in the working class found it difficult to afford
<br><br>

<br><br>
"
"who did AA have little protection from?
<br><br>
"	"white police officers, white justices and juries of the law courts
<br><br>

<br><br>
"
"what did truman say after hearing of the attacks on returning black servicemen in mississippi?
<br><br>
"	"'i shall fight to end evils like this' , 'i am asking for equality of opportunity for all human beings'
<br><br>

<br><br>
"
"What was the Great Migration?
<br><br>
"	"mass migration from the south to north of america in the first half of the twentieth century of AA
<br><br>

<br><br>
"
"Why did the Great Migration occur?
<br><br>
"	"more well paid jobs available, no enforced segregation/jim crow laws, they could vote (1945, 2 black congressmen sat in HoR)
<br><br>

<br><br>
"
"what did the war mean in the work force?
<br><br>
"	"white and black ppl working together, more than ever before. this created tensions
<br><br>

<br><br>
"
"What were the Detroit race riots?
<br><br>
"	"1943 a small fight between a group of black people and white people triggered mob mentality. 34 dead and over 100,000 involved
<br><br>

<br><br>
"
"what percentage of black schools were illiterate
<br><br>
"	"70% 1880, 11% 1945
<br><br>

<br><br>
"
"how many members did the Mississippi Progressive Voters' League attract in 1947
<br><br>
"	"5000
<br><br>

<br><br>
"
"how many CR speeches did Truman give on his 1948 election campaign?
<br><br>
"	"only one in Harlem - 98% black population in 1950
<br><br>

<br><br>
"
"when did truman create the President's committee on CR? why was this so important?
<br><br>
"	"5th December 1946. first federal CR commission in American history
<br><br>

<br><br>
"
"what happened in jan 1949?
<br><br>
"	"truman held a desegregated inauguration celebration
<br><br>

<br><br>
"
"who did truman appoint that was significant?
<br><br>
"	"a black judge to the federal courts and a black governor of the Virgin Isles
<br><br>

<br><br>
"
"what did he desegregate in 1949?
<br><br>
"	"washington dc airport
<br><br>

<br><br>
"
"what did truman implement in 1948
<br><br>
"	"fair employment procedures in the civil service
<br><br>

<br><br>
"
"what happened on 26th july 1948?
<br><br>
"	"ex order 9981 - desegregated the military. by oct 1953 90% of black soldiers had been integrated
<br><br>

<br><br>
"
"what was the 1947 'to secure these rights' report? (6 points)
<br><br>
"	"made by the civil rights committee, called for: abolition of segregation and the poll tax, voting rights for all, permanent FEPC, no discrimination in travel, end to discrimination in the armed forces
<br><br>

<br><br>
"
"what truman fail to do in 1945?
<br><br>
"	"guarantee permanent funding and support to the FEPC
<br><br>

<br><br>
"
"what was the state of union address?
<br><br>
"	"called for the implementation of the secure these rights report, 1947/8
<br><br>

<br><br>
"
"what did he do with the pro-segregation dixiecrats?
<br><br>
"	"he stood strongly against them and split from them in the democratic party
<br><br>

<br><br>
"
"what was the problem with the public housing scheme for poor black ppl implemented 1948 onwards?
<br><br>
"	"the replacement of slums with larger more spacious homes left many homeless
<br><br>

<br><br>
"
"what did congress do with secure these rights?
<br><br>
"	"they ignored the secure these rights and refused to continue the FEPC
<br><br>

<br><br>
"
"when was his NAACP adress? why was it significant?
<br><br>
"	"27th June 1947 - 10,000 in the crowd and more on broadcast. first president to address the NAACP and they began in 1909
<br><br>

<br><br>
"
"what are some quotes from truman's NAACP address?
<br><br>
"	"'to ensure that all americans enjoy these rights', 'each man must be guaranteed equal opportunity', 'there is no justifiable reason for discrimination because of... race or colour'
<br><br>

<br><br>
"
"what did ww2 see the naacp membership increase too?
<br><br>
"	"50,000 to 450,000
<br><br>

<br><br>
"
"when and why did rosa parks join the naacp?
<br><br>
"	"1942 because 'it was about empowerment through the ballot box'
<br><br>

<br><br>
"
"how many black men received funding from the GI bill?
<br><br>
"	"only 20,000 of the 100,000 who had applied, but these were record numbers
<br><br>

<br><br>
"
"when was CORE est
<br><br>
"	"1942
<br><br>

<br><br>
"
"what was the journey of reconciliation?
<br><br>
"	"1947, cr activisits in core rode buses across the south to test if the 1946 morgan v virginia ruling was being followed
<br><br>

<br><br>
"
"what did naac activists do in new orleans?
<br><br>
"	"picketed stores that did not allow black women to try on hats, 1947
<br><br>

<br><br>
"
"what did the naacp work through the law courts to do?
<br><br>
"	"try and undo plessy v ferguson and in 1950 won 3 supreme court cases
<br><br>

<br><br>
"
"what was henderson v united states?
<br><br>
"	"1950 - segregation on railroad dining cars illegal
<br><br>

<br><br>
"
"mclaurin v oklahoma state regents
<br><br>
"	"1950 - black and white students could not be physically separated at uni of oklahoma
<br><br>

<br><br>
"
"sweatt v painter
<br><br>
"	"1950 - texan black law school was not equal to the all white univrersity of texas law school
<br><br>

<br><br>
"
"Morgan v. Virginia
<br><br>
"	"1946 - segregation on interstate buses was unconstitutional
<br><br>

<br><br>
"
