#separator:tab
#html:true
"when did the usa give ussr diplomatic recognition
<br><br>
"	"1933
<br><br>

<br><br>
"
"what did roosevelt offer stalin in exchange for what at yalta, feb 1945
<br><br>
"	"territorial and economic concessions in china in return for promised soviet entry into pacific war zone three months after germany defeated
<br><br>

<br><br>
"
"what were two major causes of war time tension
<br><br>
"	"atomic bomb and disagreements over poland (stalin lied about free elections)
<br><br>

<br><br>
"
"why was truman lacking on fp
<br><br>
"	"he focussed on dp and when vp roosevelt had not kept him informed on fp much.
<br><br>

<br><br>
"
"what did the washington post say of truman's experience with fp
<br><br>
"	"'great disparity between mr truman's experience and the responsibilities that have been thrust upon him'
<br><br>

<br><br>
"
"how did truman use fdr's policies
<br><br>
"	"kept his policies and advisors
<br><br>

<br><br>
"
"what did truman think and say of stalin
<br><br>
"	"thought after potsdam conference summer 1945 that he could work with stalin - 'i liked the little son of a bitch'
<br><br>

<br><br>
"
"what did stalin say of truman
<br><br>
"	"told a colleague that truman was 'worthless'
<br><br>

<br><br>
"
"was there agreement at potsdam, summer 1945?
<br><br>
"	"relative amicable agreementent on what to do with germany, truman unhappy about communist poland, truman triumphantly informed stalin of america's new tested weapon
<br><br>

<br><br>
"
"what did stalin say of the use of the atomic bomb
<br><br>
"	"revolutionised world balance of power, america far more powerful than war-torn soviet union
<br><br>

<br><br>
"
"why was post war soviet hostility inevitable?
<br><br>
"	"opposing ideologies, long term tensions, wartime disagreements particularly over poland, american secrecy over atomic bomb, power imbalance, personality + policy clashes
<br><br>

<br><br>
"
"how did truman and stalin clash
<br><br>
"	"stalin suspicious and defensive, truman lacked roosevelt's charm and patience and determined to prove himself as tough and decisive. sai he was 'tired of babying the soviets'
<br><br>

<br><br>
"
"what did stalin declare in a speech that shocked truman admin
<br><br>
"	"communism and capitalism were incompatible and another war was inevitable. Supreme court justice William Douglas said this was a 'declaration of ww3'
<br><br>

<br><br>
"
"what did kennan's long telegram say
<br><br>
"	"usa should resist inevitable soviet expansion
<br><br>

<br><br>
"
"what did secretatry of state james byrne's speeches demonstrate
<br><br>
"	"truman admin's hardening attitude to the soviet union
<br><br>

<br><br>
"
"what suggested ww2 was the trigger for tensions
<br><br>
"	"no real preparation for a war until after ww2
<br><br>

<br><br>
"
"which areas was there particular post war tension over
<br><br>
"	"iran, greece, turkey, germany
<br><br>

<br><br>
"
"what misconception did the truman administration have over greece
<br><br>
"	"stalin behind greek communist party's opposition to conservative greek gov
<br><br>

<br><br>
"
"what did truman do in turkey and why
<br><br>
"	"after soviet post war pressure on turkey over the straits, truman sent american fleet there in august 1946
<br><br>

<br><br>
"
"what did the soviets do in germany in mid 40s
<br><br>
"	"1945-6 received the reparations yet sent none of the promised raw materials in return
<br><br>

<br><br>
"
"what was amerucan respone to soviets not sendinnf raw matierals
<br><br>
"	"may 1946 they halted reparations and blamed soviets for lack of agreement in germany
<br><br>

<br><br>
"
"what did secretary byrnes say in sep 1946
<br><br>
"	"american troops would stay in europe for forseeable future
<br><br>

<br><br>
"
"when did western zones merge
<br><br>
"	"britain and usa in 1947, france in 1949
<br><br>

<br><br>
"
"when and what was truman doctrine speech
<br><br>
"	"12th march 1947 to congress, asked for $400mil to prevent greece and turkey from falling to communism, 'i believe that our help should primarily be through economic and financial aid', signified beginning of cold war
<br><br>

<br><br>
"
"how did senator taft criticise truman doctrine
<br><br>
"	"said it was a simplistic division of the world in two
<br><br>

<br><br>
"
"how did kennan criticise truman doctrine
<br><br>
"	"too sweeping, failed to ask whether a threatened state was worth supporting, and whether it was within us capabilities to do so
<br><br>

<br><br>
"
"how did journalist lippman criticise it
<br><br>
"	"'a vague global policy' but he was supportive of idea of aid
<br><br>

<br><br>
"
"how did truman doctrine dominate us fp for the next half of century
<br><br>
"	"painted cold war in black and white
<br><br>

<br><br>
"
"when and what was marshall plan
<br><br>
"	"june 1947, $13bn to help restore economies to prevent communism
<br><br>

<br><br>
"
"what did george marshall say when introducing the plan
<br><br>
"	"5th june 1947 'its purpose should be... to permit... political and social conditions in which free institution can exist' 'the program should be a joint one agreed to by... european nations'
<br><br>

<br><br>
"
"what was congress repsone to marshall plan
<br><br>
"	"truman asked congress to finance it in march 1948 and in april they agreed
<br><br>

<br><br>
"
"what did marshall plan encourage soviet union to do
<br><br>
"	"tighten grip over eastern europe by est full communist parties in hungary, bulgaria, romania, poland and then czechoslovakia in spring 1948. autumn 1947 moscow ordered west european communists to do all they could to win
<br><br>

<br><br>
"
"what was truman's response to 'why isnt it called the truman plan'
<br><br>
"	"'anything that is sent up to senate and house with my name on it will quiver a couple times and die'
<br><br>

<br><br>
"
"what and when was berlin blockade
<br><br>
"	"june 1948 stalin blocked all land routes to west berlin because truman admin were considering est a west german state
<br><br>

<br><br>
"
"During the blockade why did Truman not want to exit Berlin
<br><br>
"	"Would be humiliating and make USA appear an unreliable ally
<br><br>

<br><br>
"
"Why did Truman not send military convoys down the autobahns
<br><br>
"	"Thought this was too aggressive
<br><br>

<br><br>
"
"What did Truman choose to do in the Berlin blockade
<br><br>
"	"Anglo-American airlift dropped millions of tons of supplies into West Berlin Until Stalin ended the blockade in May 1949
<br><br>

<br><br>
"
"What suggested neither side wanted war during the Berlin blockade
<br><br>
"	"Truman's choice of a lift and Stalin's passivity
<br><br>

<br><br>
"
"In what way was the Berlin blockade a victory for truman
<br><br>
"	"Western powers remained in West Berlin and demonstrated great unity, blockade precipitated the development of NATO and a strongly pro-American western state was established in spring 1949
<br><br>

<br><br>
"
"What was the Soviet response to the establishment of the western german state
<br><br>
"	"Soviet East Germany established in response Soviets began to fence mine patrol 850 mile border
<br><br>

<br><br>
"
"When was NATO formed?
<br><br>
"	"4 April 1949
<br><br>

<br><br>
"
"What does Congress agree to over NATO
<br><br>
"	"Massive increase in defence expenditure and US membership for NATO
<br><br>

<br><br>
"
"How was NATO significant
<br><br>
"	"Complete division between east and west Europe, USSR recognised if it attacked any NATO member of the USA would retaliate, Both sides knew where they stood in Europe and Cold War focus shifted to Asia
<br><br>

<br><br>
"
"When was West Germany admitted to NATO and what did this make the soviets do
<br><br>
"	"May 1955, soviets formed Warsaw pact
<br><br>

<br><br>
"
"After World War II how much did the USA give the Chinese leader despite what
<br><br>
"	"USA gave $2 billion to chiang Kai Shek although many considered him a hopeless case
<br><br>

<br><br>
"
"When was Communist takeover of China
<br><br>
"	"Late 1949 Mao zedong defeated chiang's nationalist forces, Chiang fled to Taiwan
<br><br>

<br><br>
"
"How did Communist China make Truman a victim of his own doctrine
<br><br>
"	"Many Americans thought if communism was such a threat he should've stopped china becoming Communist
<br><br>

<br><br>
"
"What did Republicans claim about China
<br><br>
"	"Truman had lost China because of Roosevelt's betrayal of Chang at Yalta; insufficient aid; treachery of communist sympathisers in Truman administration
<br><br>

<br><br>
"
"When did communist North Korea attacj South Korea
<br><br>
"	"25 June 1950
<br><br>

<br><br>
"
"What did Truman do after North Korea Attacked South Korea
<br><br>
"	"Supported by Congress the press and the public Truman sent naval assistance to South Korea
<br><br>

<br><br>
"
"What role did the UN play in Korea
<br><br>
"	"US dominated UN agreed that UN forces should also be sent in. Truman told reporters this was not a US war but a UN 'police action'. america making it into a world issue
<br><br>

<br><br>
"
"What did US General Douglas MacArthur do in September 1950
<br><br>
"	"Lead amphibious assault on inchon which forced a North Korean retreat, After North Korean forces had been advancing rapidly
<br><br>

<br><br>
"
"How did US success at inchon cause Truman to adjust his policies
<br><br>
"	"Rather than just containment he wanted a unified pro American korea
<br><br>

<br><br>
"
"What did china do in 1950 in relation to Korean War
<br><br>
"	"Oct - threatened to intervene if American troops crossed into NK territory
<br><br>

<br><br>
"
"What did MacArthur ensure truman after Chinese threat in Korea
<br><br>
"	"That Chinese would never intervene but they did. <br>MacArthur thought they were bluffing and pushed over border
<br><br>

<br><br>
"
"What happened following MacArthurs push over border in Korea
<br><br>
"	"US UN and SK forces driven out of NK but US general Matt Ridgeway stabilised situation by April 1951
<br><br>

<br><br>
"
"What did China propose over Korea
<br><br>
"	"June 1951 - an armistice. Finally agreed July 1953
<br><br>

<br><br>
"
"How hard Truman elongated the Korean War
<br><br>
"	"He insisted Chinese prisoners of wars not be returned to China
<br><br>

<br><br>
"
"What did NSC 68 warn Truman about the Soviets
<br><br>
"	"April 1950 - Soviets had a ""fanatic faith"" and aimed at total domination of Europe and Asia
<br><br>

<br><br>
"
"What convince Truman the Soviets were increasingly expansionist
<br><br>
"	"Fall of Czechoslovakia, Berlin blockade and North Korean attack. Truman considered North Korean Kim a Chinese puppet.
<br><br>

<br><br>
"
"How did the world balance of power it seems to be tilting in 1949
<br><br>
"	"Dangerously in favour of communism. 1949 first Soviet atomic bomb and Communist China
<br><br>

<br><br>
"
"Why did Truman think USA had to defend South Korea
<br><br>
"	"South Korea was American creation - making their own problems
<br><br>

<br><br>
"
"What did Truman believe North Korea was doing in respect to United Nations
<br><br>
"	"They were testing UN and failure to support UN would encourage aggressors
<br><br>

<br><br>
"
"What domestic problem had encouraged truman to fight in Korea
<br><br>
"	"Republicans had attacked truman for losing China, he did not want to lose Korea too, especially with congressional midterm elections on horizon
<br><br>

<br><br>
"
"How many American military soldiers died before Eisenhower ended Korean War
<br><br>
"	"36,914
<br><br>

<br><br>
"
"What had Truman managed to achieve in Korea
<br><br>
"	"He had saved South Korea from communism. Containment achieved but not rollback
<br><br>

<br><br>
"
"What affected Korean war have on Cold War tensions
<br><br>
"	"Embittered American Chinese relations and intensified American anti-Communist hysteria
<br><br>

<br><br>
"
"What did USA and USSR increase after Korean War
<br><br>
"	"Massively increased military expenditure and increased Armed Forces
<br><br>

<br><br>
"
"What did Korean War suggest in terms of world war
<br><br>
"	"No one wanted to risk a whole war. Truman rejected MacArthur's suggestion to use atomic weapons. Soviet involvement limited and China only intervened after several warnings
<br><br>

<br><br>
"
"Why did General MacArthur not get replaced even after making several mistakes
<br><br>
"	"US population loved him - truman replaced him in April 1951 after MacArthur ignored his order to retreat. ""I fired him because he didn't follow my orders, not because he's a dumb son of a bitch""
<br><br>

<br><br>
"
"What did Arthur Vandenberg say ti truman before Truman doctrine speech
<br><br>
"	"Scare the hell out of the American people
<br><br>

<br><br>
"
"How much did Truman give to French war effort in Indochina
<br><br>
"	"$2 billion
<br><br>

<br><br>
"
