#separator:tab
#html:true
"What movement confirmed the shift from mitigation to mass direct action
<br><br>
"	"The greensboro sit ins
<br><br>

<br><br>
"
"When was the first freedom ride?
<br><br>
"	"May 1961
<br><br>

<br><br>
"
"What were the freedom riders?
<br><br>
"	"Integrated Group led by the CORE that started to ride buses in the South to challenge the segregation of bus terminals.
<br><br>

<br><br>
"
"What was the court ruling against segregation on interstate transport
<br><br>
"	"Morgan v Virginia, 1946
<br><br>

<br><br>
"
"What was the ruling against segregation on interstate bus facilities?
<br><br>
"	"Boynton versus Virginia, 1960
<br><br>

<br><br>
"
"What backlash did freedom riders receive?
<br><br>
"	"They were attacked by whites in Alabama, with clubs and chains and burning their buses at Aniston
<br><br>

<br><br>
"
"What did James Farmer the leader of CORE say about the freedom rides
<br><br>
"	"""Planned the freedom ride with a specific intention of creating a crisis""
<br><br>

<br><br>
"
"How did attorney general Bobby Kennedy respond to the freedom rides?
<br><br>
"	"He obtained interstate commerce commission support for the Supreme Court rulings
<br><br>

<br><br>
"
"What was the general trend in the 1960s for the civil rights movement
<br><br>
"	"They saw non-stop, highly publicised, large-scale black activism
<br><br>

<br><br>
"
"When was Kings Birmingham campaign?
<br><br>
"	"Spring, 1963
<br><br>

<br><br>
"
"Why did king choose Birmingham in order to promote the SCLC
<br><br>
"	"The SCLC needed a success and rival black organisations were relatively inactive there
<br><br>

<br><br>
"
"Why did king choose Birmingham because of the social demographic?
<br><br>
"	"Very racist, white extremists had recently castrated an African-American, prohibiting the sale of a book that featured black and white rabbits and campaigned to stop black music being played on radio stations
<br><br>

<br><br>
"
"What did white businessmen believe about racism?
<br><br>
"	"It held Birmingham back
<br><br>

<br><br>
"
"What did king say about Birmingham?
<br><br>
"	"He said it was by far the worst big city in America for racism - this was likely to get bad publicity for Southern bigotry
<br><br>

<br><br>
"
"What did king admit about his planned demonstration amongst Birmingham's Black community
<br><br>
"	"That there was ""tremendous resistance"", and many thought Connors imminent retirement rendered protest unnecessary
<br><br>

<br><br>
"
"Who was king impatient with?
<br><br>
"	"The Kennedy administration
<br><br>

<br><br>
"
"Who is Bull Connor?
<br><br>
"	"Public Safety Commissioner for Birmingham, Alabama, and he was a determined segregationist
<br><br>

<br><br>
"
"What did bull connor say
<br><br>
"	"""I want to see the dogs work"", and his police and dogs turned on the black demonstrators
<br><br>

<br><br>
"
"How did king get arrested in Birmingham?
<br><br>
"	"He defied an injunction and marched.
<br><br>

<br><br>
"
"How was king treated in Birmingham jail?
<br><br>
"	"He was kept in solitary confinement and not allowed private meetings with his lawyer. He wrote a letter from Birmingham jail, which was widely published
<br><br>

<br><br>
"
"What help to get King released?
<br><br>
"	"His wife correta called JFK, whose pressure obtained his release
<br><br>

<br><br>
"
"What did king say as the marchers lacked black support and he became discouraged?
<br><br>
"	"""You know, we've got to get something going. The press is leaving""
<br><br>

<br><br>
"
"How did king get Birmingham onto national news?
<br><br>
"	"He enlisted black school children as young as six years old and Connors high-pressure water hoses tore clothes of the students' back which made national headlines
<br><br>

<br><br>
"
"What did the SCLC succeed in in Birmingham?
<br><br>
"	"They managed to 'fill the jails' with 2000 protesters
<br><br>

<br><br>
"
"What did JFK say about Birmingham after it descended into chaos?
<br><br>
"	"""Damaging the reputation of America""
<br><br>

<br><br>
"
"Why did Birmingham descend into chaos?
<br><br>
"	"People of both races resorted to violence
<br><br>

<br><br>
"
"In what way was Birmingham successful?
<br><br>
"	"Media triumph ""there never was any more skilful manipulation of the news than there was in Birmingham"" from a leading SCLC member
<br><br>

<br><br>
"
