#separator:tab
#html:true
"What are the four areas of the new frontier?
<br><br>
"	"Science and space; peace and war; ignorance and prejudice; poverty and surplus
<br><br>

<br><br>
"
"What did Kennedy care about most?
<br><br>
"	"Foreign policy
<br><br>

<br><br>
"
"What did he tell his speech writer?
<br><br>
"	"To drop all domestic material from his inaugural address
<br><br>

<br><br>
"
"What was he accused of doing
<br><br>
"	"only pursuing the politically possible because it made him look good
<br><br>

<br><br>
"
"What is the minimum wage act increase the minimum wage by?
<br><br>
"	"From $1-$1.25 over 1961-63
<br><br>

<br><br>
"
"How many additional workers were covered?
<br><br>
"	"3.6 million although 500,000 of the poorest remained without coverage, many of whom were black women.
<br><br>

<br><br>
"
"What year was the area redevelopment act?
<br><br>
"	"1961
<br><br>

<br><br>
"
"What does the area redevelopment act do?
<br><br>
"	"Granted $394 million to extend employment opportunities in poor states, and it provided 26,000 jobs
<br><br>

<br><br>
"
"What were the problems with the area redevelopment act?
<br><br>
"	"It was poorly funded by congress, and Congress refused to re-authorise the act in 1963 because Republicans resented the focus on key Democrat districts
<br><br>

<br><br>
"
"How many Americans were unemployed?
<br><br>
"	"5 million
<br><br>

<br><br>
"
"When was the manpower development and training act?
<br><br>
"	"1962
<br><br>

<br><br>
"
"What did the manpower development and training act aim to do?
<br><br>
"	"Retrain workers who are unemployed due to technological advances. 351 approved programs across 40 states
<br><br>

<br><br>
"
"What were the problems with the manpower development and training act?
<br><br>
"	"they mainly subsidised officials and private interests who provided the training rather than decreaseing the number of unemployed.
<br><br>

<br><br>
"
"When was the Social Security amendments act?
<br><br>
"	"1961
<br><br>

<br><br>
"
"What did the Social Security amendments act do?
<br><br>
"	"Expand benefits for the elderly and disabled
<br><br>

<br><br>
"
"What happened to unemployment benefits?
<br><br>
"	"They were expanded
<br><br>

<br><br>
"
"What did the interstate highway project do?
<br><br>
"	"It was extended and provided more jobs
<br><br>

<br><br>
"
"When was the food and agriculture act?
<br><br>
"	"1962
<br><br>

<br><br>
"
"What did the food and agriculture act do?
<br><br>
"	"Gave federal subsidies to farmers, but rural poverty persisted
<br><br>

<br><br>
"
"When was the omnibus housing act?
<br><br>
"	"1961
<br><br>

<br><br>
"
"What did the Omnibus Housing Act do?
<br><br>
"	"Granted $5 billion for the extension of existing programs in housing and urban renewal and authorised low interest loans for struggling, middle income families
<br><br>

<br><br>
"
"What was the problem with the omnibus housing act?
<br><br>
"	"Congress aimed to get America out of recession rather than to alleviate poverty so the act was designed to help developers, construction unions and Democrat candidates running in those areas rather than the poor
<br><br>

<br><br>
"
"How did Kennedy uses executive powers to help?
<br><br>
"	"Used them to focus federal purchasing power on areas of high unemployment and direct Department of agriculture to Double food distributions to the poor and unemployed
<br><br>

<br><br>
"
"How successful was Kennedys pilot food stamp program?
<br><br>
"	"Fed 24,000 people at a cost of $22 million annually
<br><br>

<br><br>
"
"What did Kennedy do to Eisenhower's school lunch milk program?
<br><br>
"	"He extended it: 700,000 more children could have hot lunches and 85,000 more schools and childcare centres received fresh milk
<br><br>

<br><br>
"
"Why were there several legislative failures?
<br><br>
"	"Kennedys men did not liaise effectively with Congress and there were many uncooperative Republicans and conservative southern Democrats
<br><br>

<br><br>
"
"What happened to federal financial aid for education?
<br><br>
"	"Rejected by Congress in 1961
<br><br>

<br><br>
"
"What happened to senior citizen healthcare?
<br><br>
"	"Rejected by Congress in 1963
<br><br>

<br><br>
"
"What happened to the department of urban affairs and housing?
<br><br>
"	"Rejects by Congress, 1961-2
<br><br>

<br><br>
"
"What happened to the civil rights bill?
<br><br>
"	"Stuck in Congress of the time of Kennedys death
<br><br>

<br><br>
"
"What happened to tax cuts (aimed to stimulate the economy)?
<br><br>
"	"Rejected by Congress in 1963
<br><br>

<br><br>
"
"What did Kennedy failed to have passed?
<br><br>
"	"No major new domestic legislation was passed during his presidency, and much of what Congress passed was not new frontier, but extensions of existing programs
<br><br>

<br><br>
"
"What did GNP expand by during his presidency
<br><br>
"	"20%
<br><br>

<br><br>
"
"What did industrial production increased by during his presidency?
<br><br>
"	"22%
<br><br>

<br><br>
"
"What did personal income increased by?
<br><br>
"	"15%
<br><br>

<br><br>
"
"What overall trend was there in the economy?
<br><br>
"	"Boom years were over, and there were frequent slow downs in economic growth as in 1961, and late 1962
<br><br>

<br><br>
"
"What was Kennedy concerned about in the economy?
<br><br>
"	"Inflation in the nation's international balance of payments deficit
<br><br>

<br><br>
"
"What was unemployment averaged to?
<br><br>
"	"5 to 7%
<br><br>

<br><br>
"
"In spring, 1963, what was on the list of major concerns for Americans?
<br><br>
"	"Unemployment and inflation
<br><br>

<br><br>
"
"What did Kennedy read that influenced him?
<br><br>
"	"Harringtons' ""the other America"" 1962, which encouraged him to make poverty a major issue in a second presidential term
<br><br>

<br><br>
"
"What percentage of the population is in poverty?
<br><br>
"	"20%, which was disproportionately Hispanic and black Americans
<br><br>

<br><br>
"
"How are black people employed in the south?
<br><br>
"	"Mostly in sharecropping, or as domestics
<br><br>

<br><br>
"
