#separator:tab
#html:true
"What did Johnson have great experience in
<br><br>
"	"He had great legislative experience as the Senate Majority Leader
<br><br>

<br><br>
"
"What did Johnson say about using his role as president to help people
<br><br>
"	"'I wanted the power to give things to people... especially the poor and the blacks'
<br><br>

<br><br>
"
"How did Johnson use Kennedys assassination to obtain legislation
<br><br>
"	"Used it to obtain anti poverty legislation and the Civil Rights Act by saying that it's what Kennedy would have wanted but didn't have the opportunity to do. This was hard to argue with in a nation going through mourning
<br><br>

<br><br>
"
"How did Kennedy contribute to a Democrat win in 1964
<br><br>
"	"National mourning translated into sympathy for the Democrats (which was combined with republican candidate Barry goldwater's Cold War extremism) which contributed to the democratic triumph
<br><br>

<br><br>
"
"What had Kennedy done that negatively impacted Johnson
<br><br>
"	"He had greatly increased US involvement in Vietnam and Johnson increased it further because he felt he had to continue Kennedy's policies
<br><br>

<br><br>
"
"How do Kennedy's legacy negatively affect Johnson's presidency
<br><br>
"	"Particularly in Vietnam Johnson felt he had to continue Kennedy's policies and he kept many of Kennedys advisors so new ideas were not coming through
<br><br>

<br><br>
"
"What was the Great Society characterised by
<br><br>
"	"Racial equality; The end of poverty; Educational reform; Better housing and the end of urban decay; Peace with other nations
<br><br>

<br><br>
"
"Initially why do people like the Great Society
<br><br>
"	"They were cheered by Johnsons optimism and the prospects of what America could achieve
<br><br>

<br><br>
"
"What were Johnson's approval ratings to begin with
<br><br>
"	"75%, partially due to Kennedy
<br><br>

<br><br>
"
"What did Johnson declare in January 1964
<br><br>
"	"'unconditional War on poverty'
<br><br>

<br><br>
"
"What did Johnson persuade Congress to pass
<br><br>
"	"The economic opportunity act of 1964 which established an office of economic opportunity
<br><br>

<br><br>
"
"Why did Johnson use the word opportunity in the 'economic opportunity act'
<br><br>
"	"To preempt conservative criticism and accusations about welfare handouts
<br><br>

<br><br>
"
"What did Johnson boast about America's commitment to eradicating poverty
<br><br>
"	"that for the first time in human history 'a great nation... is willing to make a commitment to eradicate poverty'
<br><br>

<br><br>
"
"What progress had the office of economic opportunity made by february 1965
<br><br>
"	"-44 states had antipoverty programmes <br>-53 job corps centres<br>-35,000 college students on work-study programmes
<br><br>

<br><br>
"
"How much money had been distributed in rural loans in 1968
<br><br>
"	"$17 million
<br><br>

<br><br>
"
"Which is incredibly significant structures were established in the Social Security act of 1965
<br><br>
"	"Medicare and Medicaid
<br><br>

<br><br>
"
"What was Medicare
<br><br>
"	"Provides hospital insurance and low-cost medical insurance for almost every American 65 or older
<br><br>

<br><br>
"
"What was Medicaid
<br><br>
"	"government-sponsored health care for people living below the poverty line
<br><br>

<br><br>
"
"How many Americans did Medicare and Medicaid help in 1966
<br><br>
"	"19 million
<br><br>

<br><br>
"
"What proves the success of Medicare and Medicaid
<br><br>
"	"No president has ever opposed it
<br><br>

<br><br>
"
"What was some of the problems with Medicare and Medicaid
<br><br>
"	"Gaps in coverage, proved far more expensive than they anticipated, only one fifth of the population had benefited by 1976, problem of reasonably priced care remained for all americans
<br><br>

<br><br>
"
"What did Johnson say in 1964 about education
<br><br>
"	"'Nothing matters more to the future of our country'
<br><br>

<br><br>
"
"How many Americans had never finished high school
<br><br>
"	"54 million
<br><br>

<br><br>
"
"How many Americans had under five years of schooling
<br><br>
"	"8 million
<br><br>

<br><br>
"
"How many high school graduates could not afford to enter college
<br><br>
"	"100,000
<br><br>

<br><br>
"
"What was the state of schools
<br><br>
"	"They were overcrowded, run down and short of teachers
<br><br>

<br><br>
"
"Why did presidents usually struggle to get funding for education
<br><br>
"	"Because Congress favoured local control
<br><br>

<br><br>
"
"What did Johnson persuade Congress to do with respect to education
<br><br>
"	"Double federal expenditure on education to $8 billion
<br><br>

<br><br>
"
"What two acts in 1965 passed on education
<br><br>
"	"The elementary and secondary Education Act and the Higher Education Act
<br><br>

<br><br>
"
"How many children had benefited from Johnson's education schemes by the end of his presidency
<br><br>
"	"13 million
<br><br>

<br><br>
"
"How would college education become more accessible by the end of Johnson's presidency
<br><br>
"	"By 1970 25% of college students received financial aid from the Higher Education Act
<br><br>

<br><br>
"
"What happened to the state of education by the end of Johnson's presidency
<br><br>
"	"A high percentage achieved high school diploma, no teacher shortage and new buildings were constructed
<br><br>

<br><br>
"
"What did Johnsons biographer Robert dallek say about his educational reforms
<br><br>
"	"'If his educational reforms did not lead to a Great Society, they have at least made for a better society'
<br><br>

<br><br>
"
"What was a major cause of ghetto discontent
<br><br>
"	"Poor housing
<br><br>

<br><br>
"
"What suggested poverty was not a major cause of the agitation in the ghettos
<br><br>
"	"4/5 of the Detroit ghetto rioters arrested in 1967 earned over $120 a week, suggesting that instead it was poor housing causing the agitation
<br><br>

<br><br>
"
"How did Johnson try to tackle the housing issue
<br><br>
"	"White taxpayers did not want to pay to end ghettos and so Johnson focused instead on ending discrimination in housing
<br><br>

<br><br>
"
"When was the Fair Housing Act passed?
<br><br>
"	"1968
<br><br>

<br><br>
"
"Was the fair Housing Act successful
<br><br>
"	"Not really because of white opposition
<br><br>

<br><br>
"
"When was the Housing and Urban development department established
<br><br>
"	"1965
<br><br>

<br><br>
"
"When was the demonstrations cities act passed
<br><br>
"	"1966
<br><br>

<br><br>
"
"What did the demonstration cities act aim to do
<br><br>
"	"Give money to 6 model cities to renew their urban areas and act as an example for others
<br><br>

<br><br>
"
"Why did the demonstration cities act fail
<br><br>
"	"It was underfunded and the money was spread too thinly as members of Congress demanded something for their constituents so rather than six cities being funded there were 150
<br><br>

<br><br>
"
"When was the omnibus Housing Act passed
<br><br>
"	"1965
<br><br>

<br><br>
"
"What did the omnibus Housing Act do
<br><br>
"	"Financed rent supplements and low/moderate income housing
<br><br>

<br><br>
"
"How did Johnson use his powers of persuasion in the omnibus Housing Act
<br><br>
"	"He used them to get builders to build more reasonably priced housing
<br><br>

<br><br>
"
"How many children benefited from his headstart programme
<br><br>
"	"1,000,000
<br><br>

<br><br>
"
"How many students benefited from his upward bound programme
<br><br>
"	"50,000
<br><br>

<br><br>
"
"What was the percentage of Americans in poverty
<br><br>
"	"1965: 17 % and 11% in 1970s
<br><br>

<br><br>
"
"What did the minimum wage raise by under Johnson
<br><br>
"	"$0.35
<br><br>

<br><br>
"
"What did federal expenditure on the poor increase to
<br><br>
"	"From $13 billion in 1963 to $20 billion in 1966
<br><br>

<br><br>
"
"What was unemployment at
<br><br>
"	"3.9% unemployment in 1967 was a 13 year low
<br><br>

<br><br>
"
"How did conservatives criticise the great Society
<br><br>
"	"They opposed the increased level of expenditure and 'handouts' to poor people as unsustainable
<br><br>

<br><br>
"
"How did liberals criticise the great Society
<br><br>
"	"They demanded an even greater expenditure
<br><br>

<br><br>
"
