#separator:tab
#html:true
"what did johnson say about diem's assassination
<br><br>
"	"increased US commitment to vietnam
<br><br>

<br><br>
"
"who was south vietnamese leader when johnson comes to office
<br><br>
"	"General Minh
<br><br>

<br><br>
"
"what three reasons meant lbj had little choice in continuing interference in vietnam
<br><br>
"	"weak saigon regime, kennedy's legacy, and cold war convictions/losing vietnam
<br><br>

<br><br>
"
"what did johnson believe in in terms of international politics
<br><br>
"	"communist nations aggressive dictatorships, appeasement could lead to war, containment and domino theory
<br><br>

<br><br>
"
"what did johnson believe in terms of domestic politics
<br><br>
"	"question of national honour to continue in SV, losing vietnam = losing next election, he knew a long war would be unpopular back home
<br><br>

<br><br>
"
"who were johnson's leading men
<br><br>
"	"felt it proper to keep kennedy's defence secretary mcnamara and secretary of state Rusk, this meant no new ideas on the war
<br><br>

<br><br>
"
"what soon became clear about general minh and his successors?
<br><br>
"	"even worse than diem - mcnamara described situation under general khanh as 'very disturbing'
<br><br>

<br><br>
"
"what was the issue with the SV fighters
<br><br>
"	"generally apathetic and unwilling to fight - johnson was pressed by advisers to escalate situation
<br><br>

<br><br>
"
"what was problem with NV fighters
<br><br>
"	"using guerilla war tactics which americans were clearly struggling to compete with
<br><br>

<br><br>
"
"what was operation ranch hand?
<br><br>
"	"from 1962-1967 US air force sprayed 19 million gallons of herbicides - 11 million of which was Agent Orange which has led to many long term health risks such as cancer in veterans and the vietnamese - to try and kill the greenery which vietcong fighters were using to hide
<br><br>

<br><br>
"
"what happened in august 1964
<br><br>
"	"gulf of tonkin incident - US Maddox attacked whilst in NV waters on espionage. rumoured that another ship was attacked but unsure if true - claimed that the attacks were unprovoked
<br><br>

<br><br>
"
"how did johnson use the gulf of tonkin incident?
<br><br>
"	"to pass the gulf of tonkin resolution which granted him power to pursue military action in vietnam and use 'all necessary powers' to escalate the situation (HoR unanimous, senate 88-2)
<br><br>

<br><br>
"
"how was the NV government doing compared to SV?
<br><br>
"	"SV continuing to prove unpopular whereas NV + Ho Chi Minh were winning support through land reforms and receiving considerable aid from soviets & china. they were seen as more patriotic
<br><br>

<br><br>
"
"what did the working group emphasise to johnson
<br><br>
"	"nov 1964 - an independent anti communist SV was crucial, American 'national prestige, credibility and honour were at stake', saigon government 'plagued by confusion apathy and poor morale', should be heavier bombing
<br><br>

<br><br>
"
"What was the Pleiku incident?
<br><br>
"	"Vietcong attacked huge US military camp killing 8 nd wounding over 100
<br><br>

<br><br>
"
"what was johnsons response to pleiku incident?
<br><br>
"	"'i've had enough of this' and he began rolling thunder campaign
<br><br>

<br><br>
"
