#separator:tab
#html:true
"Why was protest contagious across the rocketing student population?
<br><br>
"	"There was safety in Numbers, and they had no job to lose or family to support
<br><br>

<br><br>
"
"How did Kennedy encourage student idealism?
<br><br>
"	"With his new frontier rhetoric
<br><br>

<br><br>
"
"What role did civil rights play in protest?
<br><br>
"	"Inspired them and gave practice
<br><br>

<br><br>
"
"What did students resent about college authorities?
<br><br>
"	"Treated them as children and supported the Vietnam war
<br><br>

<br><br>
"
"What sparked protests at Berkeley in December 1964
<br><br>
"	"Mario savio wanted to raise money for the SNCC, but University authorities forbade fundraising and political activity on campus. Thousands of students protested against this
<br><br>

<br><br>
"
"What happened at UC Berkeley december 1964
<br><br>
"	"Student protesters occupied the administration building until the police objected them and made 800 arrests
<br><br>

<br><br>
"
"What was FSM
<br><br>
"	"The Berkeley free speech movement
<br><br>

<br><br>
"
"What was FSM's slogan?
<br><br>
"	""" you can't trust anyone over 30""
<br><br>

<br><br>
"
"What was the result of the protests at Berkeley?
<br><br>
"	"They gained considerable support from the teachers, and so Berkeley allowed political activity on campus
<br><br>

<br><br>
"
"What was another flareup that happened in Berkeley?
<br><br>
"	"1965 - a student was arrested for displaying the word ""****""
<br><br>

<br><br>
"
"Where did student radicalisation first gained national attention?
<br><br>
"	"UC Berkeley December 1964
<br><br>

<br><br>
"
"What did FSM trigger?
<br><br>
"	"Nationwide student protests
<br><br>

<br><br>
"
"What did the student protesters criticise universities for?
<br><br>
"	"Being impersonal, bureaucratic and excessively regulatory (as the age of majority was 21 university served in ""loco parentis""); not giving students any voice in University government; undertaking lucrative research for government defence agencies, which assisted the Vietnam war effort
<br><br>

<br><br>
"
"Which group dominated anti-war movement
<br><br>
"	"Students
<br><br>

<br><br>
"
"When was the student peace union established
<br><br>
"	"1959
<br><br>

<br><br>
"
"How many members of the student peace union have by 1962
<br><br>
"	"3000, but tens of thousands became anti-war activists in response to the Vietnam war
<br><br>

<br><br>
"
"Why were students anti-war?
<br><br>
"	"Some feared the draft; some believed the Vietnamese should be left to decide their own form of government; some hated how American bombing caused civilian casualties
<br><br>

<br><br>
"
"When and where was the first notable anti-war protest?
<br><br>
"	"1964 in New York City, when 1000 Yale students staged a protest
<br><br>

<br><br>
"
"What were 'teach-ins'?
<br><br>
"	"During 1965, many universities held anti-war, lectures and debates called teach ins
<br><br>

<br><br>
"
"What did one Berkeley teach jn attract?
<br><br>
"	"20,000 participants
<br><br>

<br><br>
"
"How many people attended an SDS organised march on Washington in 1965
<br><br>
"	"25,000
<br><br>

<br><br>
"
"What did the SDS in the New Left established in 1967
<br><br>
"	"The Mobe - mobilisation committee to end the war in Vietnam
<br><br>

<br><br>
"
"What did the SDS and the new left do for stop the draft week
<br><br>
"	"Organise the demonstration Washington with 100,000 attendees
<br><br>

<br><br>
"
"Who is the most famous defiance of the draft?
<br><br>
"	"Muhammad Ali
<br><br>

<br><br>
"
"What happened across America during stop the draft week
<br><br>
"	"Draft cards were publicly burned, and several thousand tried to close down Oakland draft headquarters and were attacked by the police and the students retaliated
<br><br>

<br><br>
"
"By 1968, what were many of the anti-war protests like
<br><br>
"	"They were often violent and many of the ROTC buildings were bombed and burned
<br><br>

<br><br>
"
"What sparked many of the protests in 1968
<br><br>
"	"The Columbia University protests
<br><br>

<br><br>
"
"What grievances did students have at Columbia?
<br><br>
"	"Colombia's involvement in weapons research; relationship with black and Hispanic population in adjacent Harlem - expansion programs had led to the eviction of thousands, including the plan to build a gym in a public park
<br><br>

<br><br>
"
"What proportion of students took part in the Columbia University protests?
<br><br>
"	"1000 of 17,000
<br><br>

<br><br>
"
"What does students do during the Columbia University protest?
<br><br>
"	"They seized five University buildings and covered the walls with pictures of Malcolm X, Che Guevara And other Communist figures.
<br><br>

<br><br>
"
"What was the response to the student protests of Colombia?
<br><br>
"	"Police used clubs and made 692 arrests. Colombia shut down for the term and abandoned the gym and many defence contracts. hundreds of similar occupations followed across the country.
<br><br>

<br><br>
"
"What did the SDS in the new left failed to do?
<br><br>
"	"Erode American materialism and inequality but realistically this was never going to happen
<br><br>

<br><br>
"
"What did the protests managed to do?
<br><br>
"	"Obtain civil rights in the south and change the behaviour of university authorities
<br><br>

<br><br>
"
"What do many believe about the impact of anti-war protests?
<br><br>
"	"That they helped persuade Johnson to halt escalation and Nixon to end the war; however, others argue they were motivated by the realisation that America cannot win the war; some say it was both
<br><br>

<br><br>
"
"What do some credit the student protests with?
<br><br>
"	"Improving the quality of life for ethnic minorities and ensuring withdraw from Vietnam. However, others believe they promoted violence, offered little constructive and damaged the great liberal tradition.
<br><br>

<br><br>
"
"What was a result of the protests and counterculture?
<br><br>
"	"The dislike of them helped the election of Richard Nixon in 1968, as the ""Law and order"" candidate
<br><br>

<br><br>
"
"How was counterculture defined roughly?
<br><br>
"	"Some saw it as including all who protested, and others focused solely on hippies
<br><br>

<br><br>
"
"What did hippie counterculture aim to do?
<br><br>
"	"Reject American society is emphasis on individualism, competitiveness, immaterialism, and favoured communal living and harmony.
<br><br>

<br><br>
"
"What was one way that hippies cemented their beliefs
<br><br>
"	"By listening to music such as the Beatles
<br><br>

<br><br>
"
"What did a group of hippies do in San Francisco in the mid-1960s
<br><br>
"	"Moved into Haight-Ashbury area, wearing ""alternative clothing"" and attending ""happenings"", smoking, selling weed, growing their hair out and using different names, like coyote
<br><br>

<br><br>
"
"What were ""happenings""
<br><br>
"	"Events such as rock concerts and festivals
<br><br>

<br><br>
"
"How many visited haight Ashbury?
<br><br>
"	"As many as 100,000
<br><br>

<br><br>
"
"What did haight Ashbury become nicknamed as
<br><br>
"	"Hashbury because of all the hash
<br><br>

<br><br>
"
"Which two events in 1967 San Francisco gained national attention
<br><br>
"	"'Human be-in' and the 'summer of Love'
<br><br>

<br><br>
"
"What was the 'human be in'
<br><br>
"	"January 1967 - thousands gathered celebrate, personal freedom, communal living and environmentalism in golden gate park
<br><br>

<br><br>
"
"What was the summer of Love?
<br><br>
"	"The Summer of Love was an extension of the human be-in that attracted tens of thousands ro hashbury jn 1967
<br><br>

<br><br>
"
"How many hippies did time Magazine estimate Nationwide
<br><br>
"	"300,000
<br><br>

<br><br>
"
"When and where was Woodstock festival?
<br><br>
"	"New York, 1969
<br><br>

<br><br>
"
"How many attended Woodstock?
<br><br>
"	"400,000
<br><br>

<br><br>
"
"What was the favourite slogan at Woodstock?
<br><br>
"	"Make love not War
<br><br>

<br><br>
"
"What did Jimi Hendrix do at Woodstock?
<br><br>
"	"Play the national anthem and attracted criticism from those who interpreted his use of amplify feedback and distortion to sound like exploding bombs as they thought this was a anti-war demonstration
<br><br>

<br><br>
"
"When did the hippie movement fade by
<br><br>
"	"Mid-1970s
<br><br>

<br><br>
"
"What had the hippie movement managed to do?
<br><br>
"	"Drew attention to and popularised eastern philosophy and religion, health foods and environmentalism, and contributed to the liberalisation of attitudes towards sex and drugs, and to the Conservative reaction that got Nixon elected
<br><br>

<br><br>
"
"When was the National organisation for women founded ?
<br><br>
"	"1966
<br><br>

<br><br>
"
"Who founded NOW?
<br><br>
"	"Betty Friedan and 27 other women
<br><br>

<br><br>
"
"What did now say in their statement of purpose at their founding conference in Washington DC?
<br><br>
"	"October 1966: ""to break through the silk and curtain of prejudice and discrimination... There is no civil rights movement to speak for women""
<br><br>

<br><br>
"
"What was the title VII of the 1964 civil rights act?
<br><br>
"	"Prohibition against discrimination in employment on the basis of sex (as well as race)
<br><br>

<br><br>
"
"What did the EEOC do initially concerning Title VII?
<br><br>
"	"They refused to enforce it
<br><br>

<br><br>
"
"What did NOW do concerning title VII and the EEOC
<br><br>
"	"They monitored the enforcement of this, and demanded an amendment to the constitution to affirm women's right to equality in all areas
<br><br>

<br><br>
"
"How did president Johnson respond to NOW's pressure on the EEOC and title VII
<br><br>
"	"With executive order 11375, which banned gender discrimination in federal employment by federal contractors
<br><br>

<br><br>
"
"How many discrimination cases had NOW fought?
<br><br>
"	"1971:1000, and $13 million compensation
<br><br>

<br><br>
"
"Who is Lorena weeks?
<br><br>
"	"A woman who claimed Southern Bell had discriminated against her for denying her promotion to switchman, because women would ""not be able to lift 30lb""
<br><br>

<br><br>
"
"How did NOW support Lorena weeks?
<br><br>
"	"They represented her, and after several appeals they won in 1969
<br><br>

<br><br>
"
"What was the Pennsylvania Muncy act?
<br><br>
"	"Women convicted of crimes with a prison sentence of three or more years had to receive the maximum possible sentence, and could be jailed for twice as long as men for similar crimes
<br><br>

<br><br>
"
"How did NOW deal with the Muncy act?
<br><br>
"	"In 1968, they won a Pennsylvania Supreme Court ruling that overthrew it
<br><br>

<br><br>
"
"What did the bill of rights for women 1968 ask for?
<br><br>
"	"Ask Congress for the enforcement of Title VII, equal access to education and employment, maternity leave, federally funded childcare to assist working mothers and reproductive rights
<br><br>

<br><br>
"
"What was important about NOW in terms of reproductive rights
<br><br>
"	"They were the first national organisation to endorse the legalisation of abortion
<br><br>

<br><br>
"
"Who is Shirley Chisholm?
<br><br>
"	"The first black congresswoman and the first black candidate to run for the Democratic presidential nomination in 1972
<br><br>

<br><br>
"
"Who supported Shirley Chisholm in her run for candidacy
<br><br>
"	"Betty Friedan and Gloria Steinem
<br><br>

<br><br>
"
"What did Chisolm say about her experience of running for Congress and for the nomination?
<br><br>
"	"""I met more discrimination as a woman than for being black""
<br><br>

<br><br>
"
"How did the NOW help flight attendants
<br><br>
"	"In 1967, they gained national attention for flight attendants, who were opposing sexist airline advertisements
<br><br>

<br><br>
"
"What does the NOW organise in 1970
<br><br>
"	"A national strike for equality
<br><br>

<br><br>
"
"What was NOW's slogan during their national strike?
<br><br>
"	"""Don't iron while the strike is hot""
<br><br>

<br><br>
"
"Who is Gloria Steinem?
<br><br>
"	"The editor of MS Magazine published by NOW and an important leader of the women's movement.
<br><br>

<br><br>
"
"When was Ms magazine founded?
<br><br>
"	"1972. Feminist magazine, co-founded by Gloria Steinem.
<br><br>

<br><br>
"
"Which slogan did Gloria Steinem popularise?
<br><br>
"	"A woman needs a man like a fish needs a bicycle
<br><br>

<br><br>
"
"What did Gloria Steinem write an Exposé on?
<br><br>
"	"Working conditions as a playboy bunny in 1963
<br><br>

<br><br>
"
"How did feminism change in the 1960s
<br><br>
"	"Move from seeking equal rights and opportunities in work in the early 1960s, towards the development in the women's liberation movement and the advocation of opposition to sexist oppression and cultural practices that objectified women
<br><br>

<br><br>
"
"What did Jo Freeman illustrate
<br><br>
"	"The connection between protest movements. She served on the FSM committee at Berkeley and worked on voter registration for the SNCC in Mississippi and Alabama, as well as being a radical feminist.
<br><br>

<br><br>
"
"What was Jo Freeman and Shula Smith Firestone told by the director in 1967 at the National conference of new politics in Chicago?
<br><br>
"	"Their resolution on gender equality did not merit floor discussion - ""we have more important issues to talk about the woman's liberation""
<br><br>

<br><br>
"
"What did Freeman do as a result of the treatment at the National conference of New Politics 1967
<br><br>
"	"She was inspired to produce a newsletter, voice of the women's liberation movement
<br><br>

<br><br>
"
"How did Freeman describe women's liberation?
<br><br>
"	"As a younger branch of the woman's movement
<br><br>

<br><br>
"
"What did Freemans newsletter help to do?
<br><br>
"	"Raise awareness of gender inequality, and to encourage activism to combat it
<br><br>

<br><br>
"
"What proportion of women thought they were discriminated against?
<br><br>
"	"1960: 1/4, 1974: 2/3
<br><br>

<br><br>
"
"Who is Ti Grace Atkinson?
<br><br>
"	"Radical feminist
<br><br>

<br><br>
"
"Why did Atkinson leave NOW in 1968
<br><br>
"	"She found it insufficiently radical, and she set up a group called 'the feminists' in New York City
<br><br>

<br><br>
"
"What did Ti Grace Atkinson argue?
<br><br>
"	"That the sexual revolution has benefited men more than it had women as it had given them easier access to women's bodies. She likened marriage and pornography to slavery.
<br><br>

<br><br>
"
"What did some in NOW members feel about parts of women's lib movement
<br><br>
"	"That it alienated public opinion
<br><br>

<br><br>
"
"What did some members of the women's lib movement Do in 1968 at the Miss America pageant.
<br><br>
"	"They disrupted it in crowned a live sheep as Miss America, and threw bras and other ""women's garbage"" into a ""freedom trashcan"" and burned it
<br><br>

<br><br>
"
"Despite some disunity in the women's movement, what did it proved to be?
<br><br>
"	"Longer lasting and more affective, compared to other movements in the 1960s
<br><br>

<br><br>
"
"What did the sexual revolution see a very rapid acceptance of?
<br><br>
"	"Premarital sex, abortions, and extra marital relations
<br><br>

<br><br>
"
"What percentage of women thought premarital sex was wrong
<br><br>
"	"1969:74%, 1973:53%
<br><br>

<br><br>
"
"Which magazine demonstrated slowly changing attitudes towards sex and sexuality
<br><br>
"	"Playboy
<br><br>

<br><br>
"
"Which scientific breakthrough accelerated the acceptance of premarital sex
<br><br>
"	"The first oral contraceptive in 1960. The pill
<br><br>

<br><br>
"
"What remained despite the sexual revolution
<br><br>
"	"Long-standing conservatism about abortion and traditional families
<br><br>

<br><br>
"
"What was the Griswold v. Connecticut ruling?
<br><br>
"	"1965 - married couples no longer refused contraception
<br><br>

<br><br>
"
"What was not legal until 1973
<br><br>
"	"Abortions. This made them dangerous.
<br><br>

<br><br>
"
"In the early 1960s, how many abortion related complications did one Chicago hospital deal with?
<br><br>
"	"Over 5000
<br><br>

<br><br>
"
"What role did the media play in protest movements?
<br><br>
"	"Provided exhaustive coverage of protest movements
<br><br>

<br><br>
"
"What impacted media have on the women's movement
<br><br>
"	"Although it Ridiculed them, it gave them a national platform which helped change attitudes
<br><br>

<br><br>
"
"What helped win the northern white support for the voting rights act
<br><br>
"	"Repeated showings of bloody Sunday at Selma
<br><br>

<br><br>
"
"What turned many against further aid for black Americans after 1965
<br><br>
"	"Coverage of ghetto riots
<br><br>

<br><br>
"
"How did MLK's media coverage change?
<br><br>
"	"He had positive coverage in the north when he focused on the problems in the south, but this changed after his Chicago campaign and his increasingly socialist position
<br><br>

<br><br>
"
"How did the media help cause backlash from the socially conservative
<br><br>
"	"Saturation of the media coverage of radicals - especially black panthers and hippies
<br><br>

<br><br>
"
