#separator:tab
#html:true
"What did Nixon say to one aide which demonstrated how cynical he was about politics
<br><br>
"	"'you are never going to make it into politics. You just don't know how to lie'
<br><br>

<br><br>
"
"Why did Nixon feel he had been robbed in the 1960 election
<br><br>
"	"Because of dubious electoral practises in Chicago by daley and in Texas by Johnson
<br><br>

<br><br>
"
"What had the Kennedy administration harassed Nixon with
<br><br>
"	"An IRS and an investigation into loan to his brother and they probably bugged his phone
<br><br>

<br><br>
"
"What did some believe about the members of the Nixon administration
<br><br>
"	"that Nixon's cynical personality and the employment of the equally cynical Mitchell, haldeman, and ehrlichman helped bring out the worst in him and led to the Watergate scandal
<br><br>

<br><br>
"
"What does creep stand for
<br><br>
"	"Committee to Re-Elect the President
<br><br>

<br><br>
"
"Why did Nixon establish creep
<br><br>
"	"He feared defeat because of his unpopular prolongation of the Vietnam War
<br><br>

<br><br>
"
"what illegal fundraising did creep partake in
<br><br>
"	"They collected over $60 million in campaign contributions, including from the chairman of McDonald's who donated $255,000 and was then allowed to continue an unauthorised price increase on 1/4 pounder cheeseburger
<br><br>

<br><br>
"
"What political subversion did creep partake in
<br><br>
"	"They worked to discredit moderate Democrat candidates such as senator Edmund muskie
<br><br>

<br><br>
"
"What did historian Iwan Morgan say about creep
<br><br>
"	"' went far beyond the customary rough and tumble of American elections'
<br><br>

<br><br>
"
"Aside from illegal fund raising political subversion what was another key thing that creep did
<br><br>
"	"Criminal surveillance
<br><br>

<br><br>
"
"What did Nixon order the FBI to do over paranoia about Vietnam leaks
<br><br>
"	"Wire tap 11 officials and four journalists
<br><br>

<br><br>
"
"What did Nixon claim about the extent of the presidential power
<br><br>
"	"that nothing the president ordered for national security could be considered illegal
<br><br>

<br><br>
"
"What was the nickname for the White House special investigation unit
<br><br>
"	"The plumbers because their job was to stop leaks
<br><br>

<br><br>
"
"When and why was the plumbers set up
<br><br>
"	"In 1971 after ellsberg leaked the Pentagon Papers
<br><br>

<br><br>
"
"What did Kissinger convince Nixon of after the Pentagon Papers
<br><br>
"	"although the Pentagon Papers reflected badly on the Democrats, Kissinger convinced Nixon that national security required classified documents to be kept secret
<br><br>

<br><br>
"
"What did the plumbers do after the FBI refused to tap ellsberg phone
<br><br>
"	"They broke into his psychiatrists home and tried to find information to discredit him
<br><br>

<br><br>
"
"When was the illegal break in of the Democratic National Committee HQ in the Watergate building
<br><br>
"	"17th June 1972
<br><br>

<br><br>
"
"What was the purpose of the illegal break into the Watergate building
<br><br>
"	"To try and find some dirt on the Democrat party before the election
<br><br>

<br><br>
"
"Who was the break in discovered by
<br><br>
"	"A security guard who arrested them
<br><br>

<br><br>
"
"Who was involved in the physical break in
<br><br>
"	"James McCord and four Cuban American exiles who had also been involved in the Bay of pigs
<br><br>

<br><br>
"
"What did Nixon say about being bugged
<br><br>
"	"' I think the country does not give much of a shit when somebody bugs someone else'
<br><br>

<br><br>
"
"What did the FBI manage to do within days of the Watergate break in
<br><br>
"	"Trace laundered money found on the plumbers to creep, and trace a number in one of the address books on the burglars back to the White House
<br><br>

<br><br>
"
"When and what was the smoking gun conversation
<br><br>
"	"22nd of June 1972: in a conversation with haldeman, Nixon suggested calling the CIA to call the FBI to tell them that the break in is a top secret national security thing and to just not worry about it
<br><br>

<br><br>
"
"What was the significance of the smoking gun conversation
<br><br>
"	"Demonstrates that Nixon knows what has happened and is actively obstructing justice
<br><br>

<br><br>
"
"Why was the smoking gun conversation caught on tape
<br><br>
"	"Because Nixon placed recording machines around the whole White House to record all conversations in order to defend himself with which is sort of ironic!
<br><br>

<br><br>
"
"How did the CIA respond to nixons proposal outlined in the smoking gun conversation
<br><br>
"	"They would not cooperate
<br><br>

<br><br>
"
"What did Nixon do after the CIA would not cooperate with his initial plan
<br><br>
"	"He tried to pay the burglars $430,000 to keep quiet
<br><br>

<br><br>
"
"When were the burglars indicted and then convicted
<br><br>
"	"They were indicted in September 1972 and convicted in January 1973 the sentences were 20 to 40 years
<br><br>

<br><br>
"
"What is the uncertainty around in nixon's involvement
<br><br>
"	"Unsure how much Nixon knew about the breakings but he was definitely involved from the start in the cover ups
<br><br>

<br><br>
"
"Aside from the smoking gun conversation what does nixon ask haldeman on the White House taping system
<br><br>
"	"He asks who knew about the break ins
<br><br>

<br><br>
"
"Who were Woodward and Bernstein and who do they have help from
<br><br>
"	"Washington Post reporters and they wrote all the president's men and they were being given leaks by 'deep throat' who was an FBI informant
<br><br>

<br><br>
"
"How many hours of testimony in the Senate hearings did TV networks cover
<br><br>
"	"300
<br><br>

<br><br>
"
"What did the Senate establish after the burglars conviction
<br><br>
"	"The Select Committee on presidential campaigning activities in February 1973
<br><br>

<br><br>
"
"How many days worth of hearings were held between may and August 1973
<br><br>
"	"37 days
<br><br>

<br><br>
"
"What percentage of Americans watched the hearings between may and August 1973
<br><br>
"	"85%
<br><br>

<br><br>
"
"When and what is the mccord letter
<br><br>
"	"23rd of March 1973 one of the burglars, james mccord, hands in a letter to the judge who reads it out in court and it says that perjury has occurred, some involved in the scandal have not yet been identified and that it was not a CIA operation
<br><br>

<br><br>
"
"What conversation does Nixon have with Dean which further proves guilt
<br><br>
"	"21st of March 1973 he asked his lawyer Dean how much he needed with which Dean said $1,000,000 and nixon replied I know where that can be gotten
<br><br>

<br><br>
"
"When did Dean decided he needed his own lawyer
<br><br>
"	"6th of April 1973 and he talks to the Senate committee
<br><br>

<br><br>
"
"When was Dean fired
<br><br>
"	"30th of April 1973
<br><br>

<br><br>
"
