#separator:tab
#html:true
"Why have the social status of African Americans in the South greatly improved
<br><br>
"	"The 1964 Civil Rights Act
<br><br>

<br><br>
"
"What were the statistics of people who graduated high school
<br><br>
"	"1970: 34% African Americans 55% white, 1980: 51% African Americans 69% white
<br><br>

<br><br>
"
"What were the statistics of people who completed college
<br><br>
"	"1970: 4% African Americans, 11% white, 1980: 8% African Americans versus 17% white
<br><br>

<br><br>
"
"What did the percentage of black school children in segregated schools in the South decrease from during nixon's presidency
<br><br>
"	"From 68% to 8%
<br><br>

<br><br>
"
"What was the Supreme Court ruling of swan V Charlotte mecklenburg in 1971
<br><br>
"	"But it was time for full implementation of school's desegregation and it specified busing schemes
<br><br>

<br><br>
"
"What was the Supreme Court ruling of milliken V Brady in 1974
<br><br>
"	"That white suburbs had no constitutional obligation to merge with predominantly black cities in order to facilitate school integration
<br><br>

<br><br>
"
"What did the Democrat controlled Congress approve in 1974 and 1975
<br><br>
"	"Anti busing legislation
<br><br>

<br><br>
"
"How did the courts and Congress's attitude change towards segregation
<br><br>
"	"They became more conservative, seen from the shift away from Swann v Charlotte Mecklenburg to miliken v brady
<br><br>

<br><br>
"
"What happened in Boston that proved busing was still a bitterly divisive issue
<br><br>
"	"The Boston anti integration riots in 1974-1976
<br><br>

<br><br>
"
"What happened in Michigan that proved busing was still a divisive issue
<br><br>
"	"1971 kkk bombing and destruction of 10 school buses
<br><br>

<br><br>
"
"What contributed to the culture wars of the 1980s
<br><br>
"	"The white backlash generated against advancements in civil rights
<br><br>

<br><br>
"
"How did conservatives criticise 'limousine liberals'
<br><br>
"	"They criticised them for imposing principles of racial harmony on others while cushioned against such issues themselves
<br><br>

<br><br>
"
"What did opposition to integrated schools cause
<br><br>
"	"Private school numbers to rise and white flight to accelerate
<br><br>

<br><br>
"
"What was thurgood Marshall's response to the Supreme Court ruling of milliken V Brady
<br><br>
"	"African American children will receive ' the same separate and inherently unequal education in the future as they have been... in the past'
<br><br>

<br><br>
"
"How had the media status of African Americans improved
<br><br>
"	"White Americans had long admired black music, 1970s black actors no longer confined to servant roles in movies and television, and 'roots' was an example of a very popular show about an African slave and his descendants in America who became property owners, which portrayed immigrants achieving the American dream. this was one of the most popular shows in the history of television
<br><br>

<br><br>
"
"How did the federal government attempt to improve the economic status of African Americans
<br><br>
"	"By focusing on the promotion of affirmative action and anti discrimination measures
<br><br>

<br><br>
"
"What did affirmative action do
<br><br>
"	"Guarantee a certain percentage of contracts to minority owned businesses and the EEOC pressure to decrease discrimination in hiring combined to accelerate the growth of the black middle class across the nation
<br><br>

<br><br>
"
"What proportion of African Americans were middle class in 1980
<br><br>
"	"1/3
<br><br>

<br><br>
"
"Where did white backlash develop against affirmative action
<br><br>
"	"University admissions and employment
<br><br>

<br><br>
"
"What was an example of white backlash against affirmative action
<br><br>
"	"There was a federal ruling against the Detroit Police Department 'last hired, first fired' policy which protected black police officers caused a police riot in which several white police officers attacked an African American one
<br><br>

<br><br>
"
"What was the median black household income compared to white households
<br><br>
"	"1980 it was roughly 60% that of white households which was the same as 1965
<br><br>

<br><br>
"
"How many African Americans lived in poverty compared to white people
<br><br>
"	"Three times as many- 33% were below the poverty line
<br><br>

<br><br>
"
"What proportion were they of those on welfare programmes and those in subsidised housing compared to the percentage of population they formed
<br><br>
"	"They were 12% of the population but 43% of those on welfare and 34% of those in subsidised housing
<br><br>

<br><br>
"
"What proportion of African Americans had low status low skilled jobs in low wage occupations
<br><br>
"	"1/3
<br><br>

<br><br>
"
"What was the average black earnings compared to white workers'
<br><br>
"	"Half
<br><br>

<br><br>
"
"What was the black infant mortality rate compared to white
<br><br>
"	"Double
<br><br>

<br><br>
"
"What was the life expectancy in 1980
<br><br>
"	"68 for black people but 74 for white people
<br><br>

<br><br>
"
"What did crime statistics reveal
<br><br>
"	"The effects of economic inequality
<br><br>

<br><br>
"
"What percentage did African Americans form of arrested rapists
<br><br>
"	"43% despite being only 12% of the population
<br><br>

<br><br>
"
"What percentage of people accused for murder were African Americans
<br><br>
"	"55%
<br><br>

<br><br>
"
"What did nixons war on drugs do
<br><br>
"	"Meant that African Americans formed the disproportionate number of those arrested for drug possession
<br><br>

<br><br>
"
"What disheartend many African Americans
<br><br>
"	"Opposition to desegregation and affirmative action, as well as the continuing poverty in the ghettos
<br><br>

<br><br>
"
"What did Wilson, a black sociologist, suggest was the reason for black poverty
<br><br>
"	"He argued that it was the disappearance of urban industrial employment
<br><br>

<br><br>
"
"What did conservatives say was the reason for black poverty
<br><br>
"	"They complained that Democrat presidents had created a welfare dependency culture
<br><br>

<br><br>
"
"What did liberals suggest was the reason for black poverty
<br><br>
"	"They blamed racism
<br><br>

<br><br>
"
"What did the Voting Rights Act of 1965 allow for
<br><br>
"	"Many black mayors to get voted in in major cities, even Birmingham
<br><br>

<br><br>
"
"How many African Americans were in Congress
<br><br>
"	"From 1973 to 1980 there were over 20 African Americans in the HoR but they represented congressional districts with largely black populations because white people were not really voting them in. From 1967 to 1979 there was only one black senator, Edward brooke
<br><br>

<br><br>
"
"What percentage of elected officials were black in 1980
<br><br>
"	"1%
<br><br>

<br><br>
"
"What was the Beer V United States ruling in 1976
<br><br>
"	"that no redrawing of political boundaries should leave ethnic minorities (particularly African Americans) worse off in terms of political representation
<br><br>

<br><br>
"
"What did some states do to help ensure the election of black officials
<br><br>
"	"They created districts which black American voters were grouped together in
<br><br>

<br><br>
"
"What did the city of mobile V bolden ruling in 1980 do
<br><br>
"	"Weakened the 1965 Voting Rights Act and Made it harder to challenge discriminatory voting laws
<br><br>

<br><br>
"
