#separator:tab
#html:true
"What did a 1970s poll reveal about women's belief in their place in the home
<br><br>
"	"2/3 of female college students believe that this notion was nonsense
<br><br>

<br><br>
"
"What was the female experience in the workforce
<br><br>
"	"Although increasing numbers of women were entering traditionally male jobs such as medicine and law they still received 73% of the salaries compared to men
<br><br>

<br><br>
"
"What percentage of adults classified as poor were women
<br><br>
"	"66% and women remained overwhelmingly dominant in low paid jobs
<br><br>

<br><br>
"
"What was the greatest preoccupation of women's activism in the 1970s
<br><br>
"	"The ERA
<br><br>

<br><br>
"
"How did Congress respond to the ERA
<br><br>
"	"Democrat controlled Congress voted overwhelmingly for it in 1972
<br><br>

<br><br>
"
"What did opponents claim about the ERA
<br><br>
"	"That it would lead to gay marriage, women in combat, unisex toilets and the end of the nuclear family
<br><br>

<br><br>
"
"Who was the most influential opponent of the ERA
<br><br>
"	"Phyllis Schlafly who was a Catholic lawyer mother of six and 'sweetheart of the silent majority'
<br><br>

<br><br>
"
"What did schlafly establish in 1972
<br><br>
"	"A 'stop ERA' organisation that attracted 50,000 members
<br><br>

<br><br>
"
"What demonstrated that schlafly's campaign was less powerful than the feminists'?
<br><br>
"	"When 20,000 feminists met in Houston TX for a national women's conference in 1978 schlafly only had 8000 members of a counter rally
<br><br>

<br><br>
"
"Why did Schlafly oppose the ERA?
<br><br>
"	"Because it would remove: protective legislation for women; Separate restroom facilities; exemption from the draft
<br><br>

<br><br>
"
"What did schlafly say about the ERA
<br><br>
"	"'the American people do not want theERA,... government funded abortion, lesbian privileges, or universal... childcare'
<br><br>

<br><br>
"
"What slightly absurd thing did schlafly also campaign for
<br><br>
"	"Women's skirts to be worn 2 inches below the knee
<br><br>

<br><br>
"
"How did critics point out schlafly's hypocrisy
<br><br>
"	"She emphasised the importance of stay at home wives and mothers but critics pointed out that she was frequently away from home. She assured Time magazine in 1978 'I have cancelled speeches whenever my husband thought that I had been away from home too much'
<br><br>

<br><br>
"
"What happened to the CRA
<br><br>
"	"Although the ERA remained high on the political agenda throughout the 1970s, many conservative states agreed with schlafly and it never obtained the assent of 75% of states required for an amendment to the constitution
<br><br>

<br><br>
"
"What did flotus Betty Ford do
<br><br>
"	"She championed the E RA and supported and encouraged her husband's appointment of a significant proportion of women to high level positions. she was loved by liberals and loathed by conservatives and advocated for women's rights and raised awareness of breast cancer issues.
<br><br>

<br><br>
"
"What was Ford like on women's rights
<br><br>
"	"He did little to help women and was out shined by his wife
<br><br>

<br><br>
"
"How did Carter help women's rights
<br><br>
"	"He was more sensitive to women's rights than Ford and insisted that at least one female candidate be considered for each cabinet post and appointed two female cabinet members and more women to high level posts than any previous president
<br><br>

<br><br>
"
"What did people think about Carter and the ERA
<br><br>
"	"He supported it but many believed he should have spoken out more than just letting his wife rosalynn Carter speak for him
<br><br>

<br><br>
"
"What nickname did rosalynn Carter earn
<br><br>
"	"Mrs. President because of the influence she had over her husband
<br><br>

<br><br>
"
"What was some annoyed about by Carter on his record for women's rights
<br><br>
"	"His opposition to federal funding of abortion except in the cases of rape, incest or the endangerment of the mothers life
<br><br>

<br><br>
"
"Before 1973, what was the legality of abortion
<br><br>
"	"A crime in 30 States and only legal in cases such as rape incest or a threat to the Women's Health in 20 states
<br><br>

<br><br>
"
"What was abortion access like prior to Roe V wade
<br><br>
"	"Many women resorted to high risk procedures. some college students were able to obtain safe abortions from sympathetic doctors but poor women lacked access
<br><br>

<br><br>
"
"what did many feminists consider the most important of women's rights
<br><br>
"	"The right to abortion - one woman said ' we can get all the rights in the world... and that means a doggone thing if we don't own the flesh we stand in'
<br><br>

<br><br>
"
"From 1971 onwards who lobbied state legislatures for the legislation of abortion
<br><br>
"	"The national abortion rights action league
<br><br>

<br><br>
"
"What case led to Roe V wade
<br><br>
"	"A Texas woman that did not want to raise a child that would live in poverty
<br><br>

<br><br>
"
"What did Roe V wade legalise
<br><br>
"	"Abortion in the first 13 weeks when a foetus could not sustain life on its own
<br><br>

<br><br>
"
"Who was thrilled by the legalisation of abortion
<br><br>
"	"Feminists, women who feared planned pregnancies, liberals and organisations such as NOW and Planned Parenthood
<br><br>

<br><br>
"
"What did conservatives think of Roe V wade
<br><br>
"	"They were outraged and actively opposed the ruling
<br><br>

<br><br>
"
"What did Betty Ford say about Roe v wade
<br><br>
"	"She called it a 'great, great decision'
<br><br>

<br><br>
"
"What did Ford say about roe V wade
<br><br>
"	"He kept quiet
<br><br>

<br><br>
"
"What did Carter think about Roe V wade
<br><br>
"	"He accepted the decision but personally disliked the easy access to abortion
<br><br>

<br><br>
"
"What was established in the 1967 to campaign against Roe V wade
<br><br>
"	"National right to life committee by the Catholic Church
<br><br>

<br><br>
"
"How did anti abortion activists prove to be highly effective fundraisers and recruiters
<br><br>
"	"They used highly emotive language about baby killers
<br><br>

<br><br>
"
"Who is Beverly la haye and what did she do
<br><br>
"	"San Diego housewife and best selling author who established the concerned women of America (CWA) in 1979 to fight against the ERA and abortion
<br><br>

<br><br>
"
