#separator:tab
#html:true
"Internationally what were Americans embarrassed about
<br><br>
"	"Vietnam and the Iranian hostage crisis
<br><br>

<br><br>
"
"What was America increasingly being perceived as
<br><br>
"	"An aggressive power that sought to impose its will on others rather than the supposed peace loving beacon of democracy and freedom
<br><br>

<br><br>
"
"What was worrying about Soviet Union
<br><br>
"	"It was felt that it was now stronger than ever as they had gained nuclear and naval parity, and despite subsequent events that would reveal the instability of the ussr many americans were convinced the usa was vulnerable
<br><br>

<br><br>
"
"In 1980 what percentage of Americans believed that the country was in superior trouble because of international threats
<br><br>
"	"81%
<br><br>

<br><br>
"
"How were the negative views about Americans international image pessimistic
<br><br>
"	"America remained by far the wealthiest and most powerful nation in the world, but it no longer enjoyed the massive lead over another nations as it had done in 1945
<br><br>

<br><br>
"
"What had led to increased federal budget deficit and inflation
<br><br>
"	"Increased expenditure on Vietnam War and on social programmes
<br><br>

<br><br>
"
"What did the energy crisis do
<br><br>
"	"as well as The increased price of oil, it had damaged industry and households
<br><br>

<br><br>
"
"Why had many manufacturing industries declined
<br><br>
"	"Foreign competition which led to increased unemployment and a trade deficit, many American companies moved production abroad or bought finished products from foreign outlets because it was cheaper.
<br><br>

<br><br>
"
"What did the AFL-CIO (umbrella organisation for all U.S. trade unions) to describe the USA as
<br><br>
"	"'a nation of Hamburger stands, a country stripped of industrial capacity in meaningful work' due to the economic problems. This demonstrated the shift from skilled labour to service jobs that are insecure and low paid
<br><br>

<br><br>
"
"What about the USA actually demonstrated its economy was fine
<br><br>
"	"Still had a far higher gnp than its nearest rivals
<br><br>

<br><br>
"
"What was America like prior to 1960
<br><br>
"	"Over 2/3 lived in affluence, race problems under control from white perspective, protests were rare, gender inequality the norm
<br><br>

<br><br>
"
"What had the great Society managed to do with respect to poverty
<br><br>
"	"It had failed to eradicate poverty but had shed light on it and so by 1980 Americans had a greater welfare safety net in than 1945, Social Security and healthcare programmes had been expanded
<br><br>

<br><br>
"
"What had the Great Society failed to do
<br><br>
"	"To improve the inner city ghettos that had mushroomed since the middle of the century
<br><br>

<br><br>
"
"Why had ghettos increased in population
<br><br>
"	"Migration north, discrimination in mortgage loans, white opposition to black neighbours and white flight
<br><br>

<br><br>
"
"What was the state of segregation by 1980
<br><br>
"	"Legal segregation and disfranchisement in the South had ended by 1980, but efforts to eradicate defacto segregation through busing had lost momentum
<br><br>

<br><br>
"
"What had civil rights legislation managed to achieve
<br><br>
"	"As well as the segregation in the South it had accelerated the introduction of affirmative action that contributed to a growing black middle class and increased the number of black elected officials
<br><br>

<br><br>
"
"What was the divorce rate
<br><br>
"	"40%
<br><br>

<br><br>
"
"What have the women's liberation movement brought new attitudes towards
<br><br>
"	"Work, sex, family and personal freedom. This upset conservatives
<br><br>

<br><br>
"
"What were womans wages like
<br><br>
"	"Their wages were 62% that of a Mans in 1980
<br><br>

<br><br>
"
