#separator:tab
#html:true
"What did GNP rise from
<br><br>
"	"In constant 1958 dollars: 1950: $355.3bn, 1960: $487.76bn
<br><br>

<br><br>
"
"How much more purchasing power did families have
<br><br>
"	"30% more in 1960 than 1950
<br><br>

<br><br>
"
"What was the rising cost of living versus factory wages
<br><br>
"	"1953 to 1957, cost-of-living raise by 2.8% but factory wages by 8.6%
<br><br>

<br><br>
"
"What stimulated many industries
<br><br>
"	"Newly affluent veterans and their growing families
<br><br>

<br><br>
"
"What was the population increase
<br><br>
"	"1950: 151.7 million, 1960: 180.7million
<br><br>

<br><br>
"
"What percentage of houses built with financed by the GI Bill
<br><br>
"	"20% between 1946 and 1966 due to generous mortgage assistance received under GI Bill
<br><br>

<br><br>
"
"What were teenage consumers labelled
<br><br>
"	"Declared ""a major factor in the nation's economy""
<br><br>

<br><br>
"
"What were the greatest growth industries (9 things)
<br><br>
"	"Advertising, aeroplanes and airlines, cars, construction, defence, electronics, food processing, pharmaceuticals and tobacco
<br><br>

<br><br>
"
"What was white flight
<br><br>
"	"the move of white city-dwellers to the suburbs to escape the influx of minorities.
<br><br>

<br><br>
"
"How much does the average house cost
<br><br>
"	"$8000 2 and a 1/2 times the average household income
<br><br>

<br><br>
"
"What percentage of Americans lived under the poverty line
<br><br>
"	"25% lived on under $3000 per year
<br><br>

<br><br>
"
"How did cars benefit the credit industry
<br><br>
"	"So expensive General Motors arranged credit terms
<br><br>

<br><br>
"
"What combined convinced consumers they should buy a new car as often as possible
<br><br>
"	"Advertisement and social status
<br><br>

<br><br>
"
"How many cars were made in 1955 alone
<br><br>
"	"7.9 million cars made, with an average of 4.5 million scrapped per year in the 1950s
<br><br>

<br><br>
"
"What new culture did increasing cars feed to
<br><br>
"	"On the road culture combined with interstate highway
<br><br>

<br><br>
"
"When did holiday inn open
<br><br>
"	"Near Memphis in 1952
<br><br>

<br><br>
"
"How many McDonald's were there
<br><br>
"	"Opened in 1955, 228 McDonald's by 1960
<br><br>

<br><br>
"
"How many service workers were there
<br><br>
"	"7.6 million in 1960
<br><br>

<br><br>
"
"What percentage of the workforce was industrial
<br><br>
"	"Fell from 39% to 36%
<br><br>

<br><br>
"
"How did the consumer society impact manual labour workers
<br><br>
"	"Still important but consumerism helped to make the economy more dependent on service industry and office-based work
<br><br>

<br><br>
"
"How did advertisements play a role in the consumer society
<br><br>
"	"Spread the message of the American dream for more Material possessions
<br><br>

<br><br>
"
"Who argued contemporary Americans were grossly materialistic
<br><br>
"	"Galbraith's 'affluent society' in 1958 - argued they were materialistic and cared little about the less fortunate
<br><br>

<br><br>
"
"Who claimed the consumer society was undermining traditional American values
<br><br>
"	"Riseman claimed consumerism and runaway materialism were becoming central to the nation's identity and undermining ""traditional American values""
<br><br>

<br><br>
"
"What did many intellectuals blame increasing consumerism on
<br><br>
"	"TV and adverts
<br><br>

<br><br>
"
"What percentage of Americans said TV was their favourite leisure activity
<br><br>
"	"Over 50%
<br><br>

<br><br>
"
"What percentage of US households had at least one television by 1960
<br><br>
"	"90%
<br><br>

<br><br>
"
"How much was spent on advertising
<br><br>
"	"1950: $5.7 billion, 1960: $11.9 billion
<br><br>

<br><br>
"
"Statistic about advertising industry
<br><br>
"	"More spent on advertising than state and federal government spent on education
<br><br>

<br><br>
"
"What did Potter claim about advertising
<br><br>
"	"1954 Potter claim advertising was as socially influential as education and religion
<br><br>

<br><br>
"
"What did packard argue about advertisement
<br><br>
"	"Packard argue that they psychologically manipulated consumers
<br><br>

<br><br>
"
"What did liberals think of Eisenhower during this consumer society
<br><br>
"	"They believe consumerism, conformity and smug self-satisfaction characterised 1950s America and felt ike was the right man to lead the nation and talked of ""the bland leading the bland""
<br><br>

<br><br>
"
