#separator:tab
#html:true
"which imperialist power was present in vietnam
<br><br>
"	"french
<br><br>

<br><br>
"
"who was the leader of the communists
<br><br>
"	"Ho Chi Minh
<br><br>

<br><br>
"
"how much in aid did truman give to french war effort
<br><br>
"	"$2bn
<br><br>

<br><br>
"
"what did ike privately admit about diem and the vietnam elections in 1956?
<br><br>
"	"that Minh would win 80% of the popular vote and that they had committed themselves to an unimpressive leader
<br><br>

<br><br>
"
"how did ike deal with vietnam when he inherited the presidency
<br><br>
"	"continuation of Truman's policies
<br><br>

<br><br>
"
"what did the french ask america for and when
<br><br>
"	"airstrike of Dien Bien Phu in 1954 - only 130km from chinese border
<br><br>

<br><br>
"
"what was a reason to support the french
<br><br>
"	"they were cooperative, strong anit-communist western ally
<br><br>

<br><br>
"
"what was a reason for ike to join vietnam due to his policies
<br><br>
"	"policy of rollback advocated for but yet to actually liberate anyone, domino theory
<br><br>

<br><br>
"
"what could ike be accused of if he didnt intervene when the french asked
<br><br>
"	"losing vietnam
<br><br>

<br><br>
"
"what did they national security council tell ike
<br><br>
"	"vietnam 'vital to the security of the US' and loss to communism would affect global power
<br><br>

<br><br>
"
"when and what was domino theory
<br><br>
"	"april 1954 in a speech - if one nation in south east asia fell it could cause a domino effect
<br><br>

<br><br>
"
"who doubted the domino theory in ikes presidency
<br><br>
"	"some advisers which was why they discouraged the airstrike of dien bien phu
<br><br>

<br><br>
"
"what did some consider the prospective airstrike?
<br><br>
"	"pointless - 'a serious diversion of limited US capabilities'
<br><br>

<br><br>
"
"what was a reason to not airstrike due to public opinion
<br><br>
"	"americans delighted at being pulled from korea
<br><br>

<br><br>
"
"what did ike say of east & southeast asia
<br><br>
"	"'no military victory is possible in that kind of theatre'
<br><br>

<br><br>
"
"what did the new look policy mean in terms of troops
<br><br>
"	"emphasis on fewer conventional forces so fewer troops were actually available
<br><br>

<br><br>
"
"what did congress think about the prospective airstrike in 1954
<br><br>
"	"opposed it
<br><br>

<br><br>
"
"what did ike think about getting involved with france
<br><br>
"	"doubted the wisdom of it, especially as america promoted anti-imperialism
<br><br>

<br><br>
"
"before french are removed from vietnam, what % of costs were covered by US?
<br><br>
"	"75%
<br><br>

<br><br>
"
"what was agreed at Geneva conference, and when
<br><br>
"	"1954, france would exit vietnam, vietnam temporarily divided into communist north and non communist south until nation-wide election in 1956
<br><br>

<br><br>
"
"what did ike do at geneva conference
<br><br>
"	"he refused to sign the Geneva Accords and created the new 'state' of south vietnam under leadership og Ngo Dinh Diem
<br><br>

<br><br>
"
"what did ike give to diem
<br><br>
"	"$7bn in aid and nearly 1000 advisers by 1961
<br><br>

<br><br>
"
"When was SEATO established?
<br><br>
"	"8th September 1954
<br><br>

<br><br>
"
"how is ike viewed for his actions in vietnam?
<br><br>
"	"often praised for keeping troops out of vietnam, but it is understood by some that he missed the stage to exit vietnam so that it would be the french that 'lost vietnam' and not USA. therefore played important role in the escalation through aid and advisers
<br><br>

<br><br>
"
"what was kennedy like as a congressman with respect to vietnam
<br><br>
"	"supportive of american involvement - 'the tiny nation for which we are largely responsible'
<br><br>

<br><br>
"
"what were some of kennedy's key values in respect to vietnam
<br><br>
"	"containment, domino theory, importance of third world, hardline anti-communist, didnt want accusations of losing vietnam
<br><br>

<br><br>
"
"what did jfks advisers tell him to do
<br><br>
"	"they urged him to continue involvement
<br><br>

<br><br>
"
"how many advisers at the start and end of jfk's presidency
<br><br>
"	"1961: 1,000 1963: nearly 17,000
<br><br>

<br><br>
"
"many advisers involved in what
<br><br>
"	"combat
<br><br>

<br><br>
"
"why did they keep increasing the adviser number?
<br><br>
"	"Diem seemed incapable of defeating the communists and McNamara hoped more advisers and war materiel would stabilise the situation
<br><br>

<br><br>
"
"what was kennedys administration urging diem to do
<br><br>
"	"introduce reforms to make the regime more popular but he refused - american press response became increasingly critical
<br><br>

<br><br>
"
"what did kennedy do and say to the militrary's suggestion of comitting to ground troops
<br><br>
"	"he declined - 'it's like taking a drink. the effect wears off and you have to take another'
<br><br>

<br><br>
"
"what did kennedy say to a friend that showed interference between domestic and foreign policy?
<br><br>
"	"spring 1963- 'I can't give a piece of territory like that to the communists and then get the american people to re-elect me'
<br><br>

<br><br>
"
"what did kennedy decide his best option was?
<br><br>
"	"replace diem
<br><br>

<br><br>
"
"what happened in 1963 that showed how unpopular diem's regime was
<br><br>
"	"buddhist monks burning themselves to death in public because the catholic regime alienated him - diem's sister in law called them 'barbecues'
<br><br>

<br><br>
"
"what did some historians and kennedy's brother believe could/should have happened in spring 1963
<br><br>
"	"time to exit vietnam and blame diem's regime for being unfixable/rejecting advice
<br><br>

<br><br>
"
"When was Diem assassinated?
<br><br>
"	"November 2, 1963 by SV generals who had colluded with the CIA - approved by kennedy
<br><br>

<br><br>
"
"What did Johnson say about leaving an impact on Vietnam
<br><br>
"	"'I want to leave the footprints of America there'
<br><br>

<br><br>
"
"what did johnson say about diem's assassination
<br><br>
"	"increased US commitment to vietnam
<br><br>

<br><br>
"
"what did general westmoreland say of the asssassination
<br><br>
"	"'morally locked us into vietnam'
<br><br>

<br><br>
"
